no,cartype,receipttime,settime,ridetime,startpos1,startpos2,endpos1,endpos2,receipt,ride,receipt-ride,hour,startlat,startlon,endlat,endlon
821,중형승합,2022-05-07 오전 12:05:00,2022-05-07 오전 12:16:40,2022-05-07 오전 12:35:44,중구,신당제5동,김포시,양촌면,2022/05/07 0:05,2022/05/07 0:35,30,0,37.56,127.02,,
8075,중형 승합,2022-05-07 오전 12:08:21,2022-05-07 오전 12:15:19,2022-05-07 오전 12:30:26,영등포구,당산제2동,동작구,신대방제1동,2022/05/07 0:08,2022/05/07 0:30,22,0,37.53,126.9,37.49,126.9
8231,중형승합,2022-05-07 오전 12:08:51,2022-05-07 오전 12:17:25,2022-05-07 오전 12:46:23,구로구,신도림동,관악구,남현동,2022/05/07 0:08,2022/05/07 0:46,38,0,37.5,126.88,37.47,126.97
8279,중형 승합,2022-05-07 오전 12:09:00,2022-05-07 오전 12:26:57,2022-05-07 오전 12:54:43,노원구,상계3.4동,노원구,하계1동,2022/05/07 0:09,2022/05/07 0:54,45,0,37.67,127.08,37.64,127.07
1560,중형 승합,2022-05-07 오전 12:13:00,2022-05-07 오전 12:14:01,2022-05-07 오전 12:14:25,중랑구,상봉제2동,강동구,천호제1동,2022/05/07 0:13,2022/05/07 0:14,1,0,37.59,127.08,37.54,127.13
7913,중형승합,2022-05-07 오전 12:18:00,2022-05-07 오전 1:15:54,2022-05-07 오전 1:33:16,중랑구,신내2동,동대문구,전농제3동,2022/05/07 0:18,2022/05/07 1:33,75,0,37.61,127.09,37.57,127.06
1554,중형 승합,2022-05-07 오전 12:22:24,2022-05-07 오전 12:38:59,2022-05-07 오전 1:04:06,용산구,원효로제1동,관악구,청림동,2022/05/07 0:22,2022/05/07 1:04,42,0,37.53,126.96,37.49,126.96
7652,중형승합,2022-05-07 오전 12:25:00,2022-05-07 오전 1:18:24,2022-05-07 오전 1:54:52,중구,광희동,광진구,구의제1동,2022/05/07 0:25,2022/05/07 1:54,89,0,37.56,127,37.54,127.08
1560,중형 승합,2022-05-07 오전 12:26:00,2022-05-07 오전 12:45:29,2022-05-07 오전 1:35:04,강남구,압구정동,성동구,왕십리도선동,2022/05/07 0:26,2022/05/07 1:35,69,0,37.52,127.03,37.57,127.03
8093,중형 승합,2022-05-07 오전 12:30:00,2022-05-07 오전 1:11:47,2022-05-07 오전 1:44:49,용산구,보광동,고양시덕양구,행신2동,2022/05/07 0:30,2022/05/07 1:44,74,0,37.52,127,,
8064,중형 승합,2022-05-07 오전 12:35:03,2022-05-07 오전 1:44:33,2022-05-07 오전 2:02:51,용산구,한강로동,중구,명동,2022/05/07 0:35,2022/05/07 2:02,87,0,37.53,126.97,37.56,126.98
8064,중형 승합,2022-05-07 오전 12:58:25,2022-05-07 오전 1:05:29,2022-05-07 오전 1:31:26,동작구,흑석동,동작구,신대방제2동,2022/05/07 0:58,2022/05/07 1:31,33,0,37.51,126.96,37.49,126.92
7857,중형승합,2022-05-07 오전 12:59:00,2022-05-07 오전 1:26:44,2022-05-07 오전 1:48:41,광진구,중곡제2동,양천구,목3동,2022/05/07 0:59,2022/05/07 1:48,49,0,37.56,127.08,37.54,126.86
7857,중형승합,2022-05-07 오전 12:59:00,2022-05-07 오전 1:26:44,2022-05-07 오전 1:48:41,광진구,중곡제2동,양천구,목3동,2022/05/07 0:59,2022/05/07 1:48,49,0,37.56,127.08,37.54,126.86
7602,중형승합,2022-05-07 오전 1:09:04,2022-05-07 오전 1:16:17,2022-05-07 오전 1:52:12,마포구,서교동,도봉구,창제1동,2022/05/07 1:09,2022/05/07 1:52,43,1,37.55,126.92,37.65,127.04
1542,중형 승합,2022-05-07 오전 1:37:00,2022-05-07 오전 1:50:17,2022-05-07 오전 3:09:16,용산구,남영동,노원구,중계4동,2022/05/07 1:37,2022/05/07 3:09,92,1,37.54,126.97,37.66,127.08
7913,중형승합,2022-05-07 오전 1:40:00,2022-05-07 오전 2:00:46,2022-05-07 오전 2:17:32,노원구,상계6.7동,노원구,상계6.7동,2022/05/07 1:40,2022/05/07 2:17,37,1,37.65,127.06,37.65,127.06
1560,중형 승합,2022-05-07 오전 2:00:00,2022-05-07 오전 2:04:20,2022-05-07 오전 2:22:21,강남구,청담동,동작구,사당제1동,2022/05/07 2:00,2022/05/07 2:22,22,2,37.52,127.04,37.48,126.98
8075,중형 승합,2022-05-07 오전 2:03:42,2022-05-07 오전 2:10:24,2022-05-07 오전 2:25:16,영등포구,당산제2동,마포구,성산제2동,2022/05/07 2:03,2022/05/07 2:25,22,2,37.53,126.9,37.56,126.9
6774,중형승합,2022-05-07 오전 2:11:00,2022-05-07 오전 2:12:09,2022-05-07 오전 2:33:46,마포구,망원제1동,마포구,망원제1동,2022/05/07 2:11,2022/05/07 2:33,22,2,37.55,126.9,37.55,126.9
5783,중형승합,2022-05-07 오전 2:16:00,2022-05-07 오전 2:19:41,2022-05-07 오전 2:50:27,송파구,가락1동,성남시수정구,신흥2동,2022/05/07 2:16,2022/05/07 2:50,34,2,37.5,127.1,,
8064,중형 승합,2022-05-07 오전 2:52:00,2022-05-07 오전 2:55:21,2022-05-07 오전 3:04:42,강동구,암사제1동,하남시,풍산동,2022/05/07 2:52,2022/05/07 3:04,12,2,37.55,127.13,,
8231,중형승합,2022-05-07 오전 3:00:00,2022-05-07 오전 3:06:08,2022-05-07 오전 3:26:33,관악구,행운동,서대문구,충현동,2022/05/07 3:00,2022/05/07 3:26,26,3,37.48,126.95,37.56,126.96
7906,중형승합,2022-05-07 오전 3:33:03,2022-05-07 오전 3:39:32,2022-05-07 오전 3:48:11,관악구,조원동,용산구,남영동,2022/05/07 3:33,2022/05/07 3:48,15,3,37.48,126.9,37.54,126.97
1554,중형 승합,2022-05-07 오전 4:09:00,2022-05-07 오전 4:18:05,2022-05-07 오전 4:25:56,중랑구,묵제1동,강동구,둔촌제2동,2022/05/07 4:09,2022/05/07 4:25,16,4,37.61,127.08,37.53,127.14
8231,중형승합,2022-05-07 오전 4:14:00,2022-05-07 오전 4:21:27,2022-05-07 오전 4:39:09,영등포구,당산제2동,중구,회현동,2022/05/07 4:14,2022/05/07 4:39,25,4,37.53,126.9,37.55,126.97
7913,중형승합,2022-05-07 오전 4:27:10,2022-05-07 오전 4:33:30,2022-05-07 오전 4:42:04,노원구,하계1동,도봉구,방학제1동,2022/05/07 4:27,2022/05/07 4:42,15,4,37.64,127.07,37.66,127.04
7663,중형승합,2022-05-07 오전 4:28:54,2022-05-07 오전 4:40:10,2022-05-07 오전 4:57:17,강서구,가양제2동,도봉구,방학제1동,2022/05/07 4:28,2022/05/07 4:57,29,4,37.56,126.85,37.66,127.04
7906,중형승합,2022-05-07 오전 4:42:00,2022-05-07 오전 4:43:19,2022-05-07 오전 4:55:47,관악구,삼성동,관악구,서원동,2022/05/07 4:42,2022/05/07 4:55,13,4,37.47,126.93,37.48,126.93
8279,중형 승합,2022-05-07 오전 4:51:00,2022-05-07 오전 5:00:34,2022-05-07 오전 5:13:17,노원구,중계2.3동,노원구,상계6.7동,2022/05/07 4:51,2022/05/07 5:13,22,4,37.64,127.06,37.65,127.06
1560,중형 승합,2022-05-07 오전 4:54:41,2022-05-07 오전 5:07:37,2022-05-07 오전 5:44:54,금천구,독산제3동,관악구,신사동,2022/05/07 4:54,2022/05/07 5:44,50,4,37.47,126.9,37.48,126.92
7913,중형승합,2022-05-07 오전 5:04:00,2022-05-07 오전 5:06:10,2022-05-07 오전 5:18:50,노원구,하계2동,성북구,석관동,2022/05/07 5:04,2022/05/07 5:18,14,5,37.63,127.06,37.6,127.06
8075,중형 승합,2022-05-07 오전 5:10:00,2022-05-07 오전 4:48:29,2022-05-07 오전 5:26:22,동작구,신대방제2동,영등포구,신길제6동,2022/05/07 5:10,2022/05/07 5:26,16,5,37.5,126.92,37.5,126.91
5783,중형승합,2022-05-07 오전 5:10:00,2022-05-07 오전 4:47:51,2022-05-07 오전 5:22:49,성북구,삼선동,서대문구,충현동,2022/05/07 5:10,2022/05/07 5:22,12,5,37.59,127.01,37.56,126.96
7864,중형승합,2022-05-07 오전 5:20:00,2022-05-07 오전 4:58:28,2022-05-07 오전 5:23:21,강북구,송천동,도봉구,쌍문제3동,2022/05/07 5:20,2022/05/07 5:23,3,5,37.61,127.02,37.65,127.03
8093,중형 승합,2022-05-07 오전 5:25:00,2022-05-07 오전 5:28:26,2022-05-07 오전 6:04:00,서초구,양재1동,하남시,감북동,2022/05/07 5:25,2022/05/07 6:04,39,5,37.47,127.02,,
5737,중형승합,2022-05-07 오전 5:30:00,2022-05-07 오전 4:56:50,2022-05-07 오전 5:31:09,송파구,거여1동,송파구,풍납2동,2022/05/07 5:30,2022/05/07 5:31,1,5,37.49,127.14,37.53,127.11
8231,중형승합,2022-05-07 오전 5:30:00,2022-05-07 오전 5:09:24,2022-05-07 오전 5:36:57,중구,회현동,동작구,상도제1동,2022/05/07 5:30,2022/05/07 5:36,6,5,37.55,126.98,37.5,126.95
5783,중형승합,2022-05-07 오전 5:34:14,2022-05-07 오전 5:47:59,2022-05-07 오전 6:00:36,서대문구,신촌동,서대문구,신촌동,2022/05/07 5:34,2022/05/07 6:00,26,5,37.56,126.94,37.57,126.93
1554,중형 승합,2022-05-07 오전 5:41:07,2022-05-07 오전 5:50:37,2022-05-07 오전 6:02:44,중랑구,망우본동,중랑구,신내1동,2022/05/07 5:41,2022/05/07 6:02,21,5,37.6,127.1,37.61,127.1
1560,중형 승합,2022-05-07 오전 5:56:24,2022-05-07 오전 6:01:21,2022-05-07 오전 6:13:25,관악구,성현동,관악구,서원동,2022/05/07 5:56,2022/05/07 6:13,17,5,37.49,126.94,37.48,126.93
7864,중형승합,2022-05-07 오전 5:58:00,2022-05-07 오전 6:01:19,2022-05-07 오전 6:14:46,노원구,중계2.3동,노원구,상계6.7동,2022/05/07 5:58,2022/05/07 6:14,16,5,37.64,127.06,37.65,127.06
824,중형승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:07:19,2022-05-07 오전 7:17:08,중랑구,면목제4동,중랑구,면목제3.8동,2022/05/07 7:00,2022/05/07 7:17,17,7,37.57,127.08,37.58,127.1
8210,중형승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:08:42,2022-05-07 오전 7:17:12,강서구,방화제2동,강서구,발산제1동,2022/05/07 7:00,2022/05/07 7:17,17,7,37.56,126.8,37.55,126.83
3586,중형 승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:08:14,2022-05-07 오전 7:16:35,마포구,성산제2동,마포구,서교동,2022/05/07 7:00,2022/05/07 7:16,16,7,37.57,126.9,37.55,126.92
5586,중형승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:08:28,2022-05-07 오전 7:22:16,강동구,둔촌제2동,강동구,둔촌제2동,2022/05/07 7:00,2022/05/07 7:22,22,7,37.53,127.14,37.53,127.14
8260,중형승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:02:24,2022-05-07 오전 7:19:36,강남구,논현2동,강남구,대치1동,2022/05/07 7:00,2022/05/07 7:19,19,7,37.51,127.03,37.49,127.05
4844,중형 승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:06:58,2022-05-07 오전 7:19:07,관악구,인헌동,관악구,인헌동,2022/05/07 7:00,2022/05/07 7:19,19,7,37.47,126.96,37.47,126.96
9156,중형 승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:03:41,2022-05-07 오전 7:19:42,관악구,난곡동,영등포구,대림제1동,2022/05/07 7:00,2022/05/07 7:19,19,7,37.47,126.92,37.49,126.9
3576,중형 승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:08:58,2022-05-07 오전 7:25:14,송파구,송파1동,송파구,송파1동,2022/05/07 7:00,2022/05/07 7:25,25,7,37.5,127.1,37.5,127.1
7920,중형승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:02:08,2022-05-07 오전 7:17:22,구로구,오류제1동,구로구,고척제1동,2022/05/07 7:00,2022/05/07 7:17,17,7,37.49,126.84,37.5,126.86
5787,중형승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:08:54,2022-05-07 오전 7:18:43,강서구,방화제2동,강서구,발산제1동,2022/05/07 7:00,2022/05/07 7:18,18,7,37.56,126.8,37.55,126.83
8006,중형 승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:03:39,2022-05-07 오전 7:15:48,은평구,갈현제2동,고양시덕양구,흥도동,2022/05/07 7:00,2022/05/07 7:15,15,7,37.61,126.91,,
5758,중형승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:09:03,2022-05-07 오전 7:21:42,송파구,가락본동,송파구,풍납2동,2022/05/07 7:00,2022/05/07 7:21,21,7,37.49,127.12,37.53,127.11
1506,중형 승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:08:30,2022-05-07 오전 7:29:46,은평구,불광제1동,은평구,불광제1동,2022/05/07 7:00,2022/05/07 7:29,29,7,37.61,126.93,37.62,126.93
3692,중형승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:07:38,2022-05-07 오전 7:27:26,서대문구,연희동,서대문구,홍은제2동,2022/05/07 7:00,2022/05/07 7:27,27,7,37.57,126.93,37.59,126.93
1566,중형 승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:09:18,2022-05-07 오전 7:19:09,성동구,마장동,중구,신당제3동,2022/05/07 7:00,2022/05/07 7:19,19,7,37.56,127.04,37.56,127.01
6074,중형 승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:05:15,2022-05-07 오전 7:20:49,광진구,중곡제4동,광진구,자양제1동,2022/05/07 7:00,2022/05/07 7:20,20,7,37.56,127.09,37.53,127.08
8176,중형 승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:09:12,2022-05-07 오전 7:26:00,도봉구,쌍문제4동,도봉구,쌍문제2동,2022/05/07 7:00,2022/05/07 7:26,26,7,37.65,127.03,37.66,127.03
3644,중형 승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:10:30,2022-05-07 오전 7:27:58,영등포구,신길제3동,영등포구,신길제1동,2022/05/07 7:00,2022/05/07 7:27,27,7,37.5,126.9,37.51,126.91
5761,중형승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:04:38,2022-05-07 오전 7:13:29,도봉구,방학제2동,동대문구,장안제2동,2022/05/07 7:00,2022/05/07 7:13,13,7,37.67,127.03,37.58,127.07
1528,중형 승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:09:02,2022-05-07 오전 7:29:36,강서구,등촌제3동,강서구,가양제1동,2022/05/07 7:00,2022/05/07 7:29,29,7,37.55,126.84,37.57,126.83
3705,중형승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:07:41,2022-05-07 오전 7:27:38,강북구,수유제2동,강북구,인수동,2022/05/07 7:00,2022/05/07 7:27,27,7,37.64,127.02,37.63,127
8010,중형 승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:03:47,2022-05-07 오전 7:23:00,서대문구,홍은제1동,서대문구,홍제제1동,2022/05/07 7:00,2022/05/07 7:23,23,7,37.6,126.95,37.58,126.94
8105,중형승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:08:28,2022-05-07 오전 7:23:19,강남구,일원1동,강남구,대치1동,2022/05/07 7:00,2022/05/07 7:23,23,7,37.49,127.08,37.49,127.05
7914,중형승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:06:49,2022-05-07 오전 7:16:08,강남구,수서동,동작구,노량진제1동,2022/05/07 7:00,2022/05/07 7:16,16,7,37.485,127.1,37.51,126.95
8188,중형 승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:08:37,2022-05-07 오전 7:20:37,성북구,길음제1동,종로구,이화동,2022/05/07 7:00,2022/05/07 7:20,20,7,37.61,127.02,37.58,127
8095,중형 승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:00:42,2022-05-07 오전 7:19:45,송파구,장지동,강남구,수서동,2022/05/07 7:00,2022/05/07 7:19,19,7,37.48,127.13,37.48,127.1
5754,중형승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:01:31,2022-05-07 오전 7:24:25,구로구,구로제5동,구로구,고척제1동,2022/05/07 7:00,2022/05/07 7:24,24,7,37.5,126.89,37.5,126.86
4634,중형 승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:06:00,2022-05-07 오전 7:18:21,성북구,장위제1동,종로구,혜화동,2022/05/07 7:00,2022/05/07 7:18,18,7,37.61,127.04,37.58,126.99
8054,중형 승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:09:03,2022-05-07 오전 7:26:09,양천구,목1동,강서구,화곡제6동,2022/05/07 7:00,2022/05/07 7:26,26,7,37.52,126.87,37.55,126.85
9155,중형 승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:03:26,2022-05-07 오전 7:23:12,강남구,수서동,송파구,잠실2동,2022/05/07 7:00,2022/05/07 7:23,23,7,37.485,127.1,37.51,127.18
7658,중형승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:04:59,2022-05-07 오전 7:25:27,동작구,상도제2동,관악구,서원동,2022/05/07 7:00,2022/05/07 7:25,25,7,37.51,126.94,37.48,126.93
8262,중형승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:10:06,2022-05-07 오전 7:26:45,용산구,한남동,마포구,도화동,2022/05/07 7:00,2022/05/07 7:26,26,7,37.53,127,37.54,126.95
3628,중형 승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:08:52,2022-05-07 오전 7:26:08,관악구,행운동,서초구,방배1동,2022/05/07 7:00,2022/05/07 7:26,26,7,37.48,126.95,37.48,127
808,중형승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:02:55,2022-05-07 오전 7:16:22,영등포구,신길제3동,용산구,남영동,2022/05/07 7:00,2022/05/07 7:16,16,7,37.5,126.9,37.54,126.97
6144,중형 승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:09:16,2022-05-07 오전 7:29:32,영등포구,영등포본동,구로구,구로제2동,2022/05/07 7:00,2022/05/07 7:29,29,7,37.51,126.9,37.5,126.87
9141,중형 승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:09:00,2022-05-07 오전 7:18:48,중랑구,신내2동,노원구,월계2동,2022/05/07 7:00,2022/05/07 7:18,18,7,37.61,127.09,37.63,127.05
6781,중형승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:07:31,2022-05-07 오전 7:24:35,중구,신당제3동,동대문구,청량리동,2022/05/07 7:00,2022/05/07 7:24,24,7,37.56,127.01,37.59,127.05
8156,중형 승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:06:58,2022-05-07 오전 7:19:40,마포구,용강동,성북구,성북동,2022/05/07 7:00,2022/05/07 7:19,19,7,37.54,126.94,37.59,127
5725,중형승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:08:53,2022-05-07 오전 7:31:15,송파구,마천2동,송파구,풍납2동,2022/05/07 7:00,2022/05/07 7:31,31,7,37.49,127.15,37.53,127.11
3564,중형 승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:04:02,2022-05-07 오전 7:21:39,강서구,가양제1동,서대문구,신촌동,2022/05/07 7:00,2022/05/07 7:21,21,7,37.57,126.84,37.57,126.93
3604,중형 승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:04:19,2022-05-07 오전 7:17:49,동대문구,장안제4동,송파구,풍납2동,2022/05/07 7:00,2022/05/07 7:17,17,7,37.57,127.07,37.53,127.11
6756,중형승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:09:03,2022-05-07 오전 7:36:10,강서구,가양제3동,강서구,등촌제3동,2022/05/07 7:00,2022/05/07 7:36,36,7,37.56,126.86,37.55,126.84
6749,중형승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:08:56,2022-05-07 오전 7:37:12,강남구,개포4동,강남구,대치1동,2022/05/07 7:00,2022/05/07 7:37,37,7,37.47,127.04,37.49,127.05
9147,중형 승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:08:42,2022-05-07 오전 7:24:24,은평구,진관동,고양시일산동구,식사동,2022/05/07 7:00,2022/05/07 7:24,24,7,37.64,126.92,,
3602,중형 승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:09:02,2022-05-07 오전 7:40:37,강서구,등촌제3동,강서구,발산제1동,2022/05/07 7:00,2022/05/07 7:40,40,7,37.55,126.84,37.55,126.83
5586,중형승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:29:32,2022-05-07 오전 7:45:17,송파구,마천1동,송파구,가락2동,2022/05/07 7:00,2022/05/07 7:45,45,7,37.49,127.15,37.49,127.13
8260,중형승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:32:12,2022-05-07 오전 7:43:45,서초구,양재1동,강남구,대치1동,2022/05/07 7:00,2022/05/07 7:43,43,7,37.47,127.02,37.49,127.05
6772,중형승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:09:18,2022-05-07 오전 7:19:49,노원구,상계1동,종로구,종로1.2.3.4가동,2022/05/07 7:00,2022/05/07 7:19,19,7,37.68,127.05,37.57,126.98
3837,중형승용,2022-05-07 오전 7:00:00,2022-05-07 오전 7:01:32,2022-05-07 오전 7:17:38,도봉구,창제3동,송파구,삼전동,2022/05/07 7:00,2022/05/07 7:17,17,7,37.63,127.04,37.5,127.09
5798,중형승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:11:57,2022-05-07 오전 7:38:36,강남구,수서동,광진구,화양동,2022/05/07 7:00,2022/05/07 7:38,38,7,37.485,127.1,37.54,127.07
8276,중형 승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:09:13,2022-05-07 오전 7:29:53,강서구,화곡제6동,부천시소사구,송내1동,2022/05/07 7:00,2022/05/07 7:29,29,7,37.55,126.85,,
9128,중형 승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:09:00,2022-05-07 오전 7:21:55,강서구,방화제2동,종로구,이화동,2022/05/07 7:00,2022/05/07 7:21,21,7,37.56,126.8,37.58,127
836,중형승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:08:36,2022-05-07 오전 7:23:45,용산구,후암동,성북구,장위제1동,2022/05/07 7:00,2022/05/07 7:23,23,7,37.55,126.98,37.61,127.04
7902,중형승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:08:01,2022-05-07 오전 7:46:15,강서구,화곡제4동,영등포구,대림제3동,2022/05/07 7:00,2022/05/07 7:46,46,7,37.53,126.86,37.5,126.9
8210,중형승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:34:21,2022-05-07 오전 7:48:22,강서구,등촌제3동,강서구,방화제3동,2022/05/07 7:00,2022/05/07 7:48,48,7,37.55,126.84,37.57,126.81
8087,중형 승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:07:04,2022-05-07 오전 7:25:59,노원구,상계1동,서대문구,신촌동,2022/05/07 7:00,2022/05/07 7:25,25,7,37.68,127.05,37.57,126.93
7933,중형승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:12:41,2022-05-07 오전 7:42:03,강동구,강일동,송파구,풍납2동,2022/05/07 7:00,2022/05/07 7:42,42,7,37.56,127.17,37.53,127.11
7651,중형승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:18:56,2022-05-07 오전 7:43:44,강서구,가양제1동,서대문구,신촌동,2022/05/07 7:00,2022/05/07 7:43,43,7,37.57,126.84,37.57,126.93
3576,중형 승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:35:38,2022-05-07 오전 7:50:32,송파구,장지동,강남구,일원1동,2022/05/07 7:00,2022/05/07 7:50,50,7,37.48,127.13,37.49,127.09
3186,중형승용,2022-05-07 오전 7:00:00,2022-05-07 오전 7:04:14,2022-05-07 오전 7:27:44,송파구,잠실본동,부천시원미구,심곡2동,2022/05/07 7:00,2022/05/07 7:27,27,7,37.5,127.08,,
5785,중형승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:06:51,2022-05-07 오전 7:09:51,중랑구,면목본동,중랑구,면목제3.8동,2022/05/07 7:00,2022/05/07 7:09,9,7,37.58,127.08,37.58,127.1
5790,중형승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:03:35,2022-05-07 오전 7:11:00,노원구,하계2동,노원구,월계1동,2022/05/07 7:00,2022/05/07 7:11,11,7,37.63,127.06,37.62,127.05
1408,중형승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:03:32,2022-05-07 오전 7:16:44,마포구,공덕동,중구,소공동,2022/05/07 7:00,2022/05/07 7:16,16,7,37.55,126.96,37.56,126.97
7643,중형승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:05:31,2022-05-07 오전 7:15:22,중랑구,신내2동,중랑구,신내1동,2022/05/07 7:00,2022/05/07 7:15,15,7,37.61,127.09,37.61,127.1
8167,중형 승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:01:22,2022-05-07 오전 7:11:40,영등포구,양평제1동,영등포구,영등포동,2022/05/07 7:00,2022/05/07 7:11,11,7,37.52,126.88,37.52,126.9
5735,중형승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:02:01,2022-05-07 오전 7:13:20,종로구,가회동,종로구,혜화동,2022/05/07 7:00,2022/05/07 7:13,13,7,37.58,126.98,37.58,126.99
8004,중형 승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:05:46,2022-05-07 오전 7:17:46,은평구,구산동,은평구,불광제1동,2022/05/07 7:00,2022/05/07 7:17,17,7,37.61,126.91,37.62,126.93
1697,중형승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:08:24,2022-05-07 오전 7:15:41,광진구,중곡제3동,광진구,중곡제2동,2022/05/07 7:00,2022/05/07 7:15,15,7,37.57,127.08,37.56,127.08
804,중형승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:08:34,2022-05-07 오전 7:18:19,노원구,중계2.3동,노원구,월계1동,2022/05/07 7:00,2022/05/07 7:18,18,7,37.64,127.06,37.62,127.05
4174,중형승합,2022-05-07 오전 7:03:10,2022-05-07 오전 7:12:51,2022-05-07 오전 7:22:45,노원구,월계1동,노원구,상계6.7동,2022/05/07 7:03,2022/05/07 7:22,19,7,37.62,127.06,37.65,127.06
5787,중형승합,2022-05-07 오전 7:04:00,2022-05-07 오전 7:33:43,2022-05-07 오전 7:46:20,강서구,발산제1동,서초구,반포4동,2022/05/07 7:04,2022/05/07 7:46,42,7,37.55,126.83,37.5,127
8022,중형 승합,2022-05-07 오전 7:06:00,2022-05-07 오전 7:09:30,2022-05-07 오전 7:20:06,광진구,중곡제3동,광진구,중곡제1동,2022/05/07 7:06,2022/05/07 7:20,14,7,37.57,127.08,37.56,127.07
9158,중형 승합,2022-05-07 오전 7:07:00,2022-05-07 오전 7:10:22,2022-05-07 오전 7:25:41,종로구,명륜3가동,종로구,종로5.6가동,2022/05/07 7:07,2022/05/07 7:25,18,7,37.57,127,37.57,127
3610,중형 승합,2022-05-07 오전 7:08:00,2022-05-07 오전 7:10:55,2022-05-07 오전 7:30:03,동대문구,청량리동,동대문구,청량리동,2022/05/07 7:08,2022/05/07 7:30,22,7,37.59,127.04,37.59,127.05
8295,중형 승합,2022-05-07 오전 7:08:00,2022-05-07 오전 7:09:54,2022-05-07 오전 7:24:48,성동구,마장동,서초구,서초1동,2022/05/07 7:08,2022/05/07 7:24,16,7,37.56,127.04,37.49,127.02
5728,중형승합,2022-05-07 오전 7:09:00,2022-05-07 오전 7:18:16,2022-05-07 오전 7:33:35,은평구,역촌동,중구,명동,2022/05/07 7:09,2022/05/07 7:33,24,7,37.6,126.91,37.56,126.98
