no,cartype,receipttime,settime,ridetime,startpos1,startpos2,endpos1,endpos2,receipt,ride,receipt-ride,hour,startlat,startlon,endlat,endlon
8107,중형승합,2022-05-05 오전 7:00:00,2022-05-05 오전 7:03:54,2022-05-05 오전 7:12:36,노원구,하계2동,노원구,월계1동,2022/05/05 7:00,2022/05/05 7:12,12,7,37.63,127.06,37.62,127.05
5661,중형승합,2022-05-05 오전 7:00:00,2022-05-05 오전 7:07:06,2022-05-05 오전 7:17:07,은평구,응암제1동,서대문구,신촌동,2022/05/05 7:00,2022/05/05 7:17,17,7,37.6,126.92,37.57,126.93
8263,중형승합,2022-05-05 오전 7:00:00,2022-05-05 오전 7:07:48,2022-05-05 오전 7:15:42,중랑구,면목제4동,중랑구,면목제3.8동,2022/05/05 7:00,2022/05/05 7:15,15,7,37.57,127.08,37.58,127.1
3598,중형 승합,2022-05-05 오전 7:00:00,2022-05-05 오전 7:01:49,2022-05-05 오전 7:19:52,동작구,상도제2동,관악구,서원동,2022/05/05 7:00,2022/05/05 7:19,19,7,37.51,126.94,37.48,126.93
3612,중형승합,2022-05-05 오전 7:00:00,2022-05-05 오전 7:07:02,2022-05-05 오전 7:17:54,노원구,하계1동,강동구,천호제2동,2022/05/05 7:00,2022/05/05 7:17,17,7,37.64,127.07,37.54,127.12
7638,중형승합,2022-05-05 오전 7:00:00,2022-05-05 오전 7:03:47,2022-05-05 오전 7:19:49,송파구,가락본동,송파구,풍납2동,2022/05/05 7:00,2022/05/05 7:19,19,7,37.49,127.12,37.53,127.11
8239,중형승합,2022-05-05 오전 7:00:00,2022-05-05 오전 7:08:10,2022-05-05 오전 7:24:58,광진구,중곡제4동,광진구,자양제1동,2022/05/05 7:00,2022/05/05 7:24,24,7,37.56,127.09,37.53,127.08
7821,중형승합,2022-05-05 오전 7:00:00,2022-05-05 오전 7:03:48,2022-05-05 오전 7:15:30,영등포구,양평제1동,영등포구,영등포동,2022/05/05 7:00,2022/05/05 7:15,15,7,37.52,126.88,37.52,126.9
820,중형승합,2022-05-05 오전 7:00:00,2022-05-05 오전 7:07:08,2022-05-05 오전 7:16:14,중랑구,신내2동,중랑구,신내1동,2022/05/05 7:00,2022/05/05 7:16,16,7,37.61,127.09,37.61,127.1
7524,중형승합,2022-05-05 오전 7:00:00,2022-05-05 오전 7:02:17,2022-05-05 오전 7:14:12,종로구,가회동,종로구,혜화동,2022/05/05 7:00,2022/05/05 7:14,14,7,37.58,126.98,37.58,126.99
8035,중형 승합,2022-05-05 오전 7:00:00,2022-05-05 오전 7:07:29,2022-05-05 오전 7:22:33,영등포구,영등포본동,구로구,구로제2동,2022/05/05 7:00,2022/05/05 7:22,22,7,37.51,126.9,37.5,126.87
811,중형승합,2022-05-05 오전 7:00:00,2022-05-05 오전 7:09:33,2022-05-05 오전 7:27:45,도봉구,방학제2동,동대문구,장안제2동,2022/05/05 7:00,2022/05/05 7:27,27,7,37.67,127.03,37.58,127.07
8141,중형승합,2022-05-05 오전 7:00:00,2022-05-05 오전 7:05:42,2022-05-05 오전 7:17:45,마포구,용강동,성북구,성북동,2022/05/05 7:00,2022/05/05 7:17,17,7,37.54,126.94,37.59,127
3570,중형 승합,2022-05-05 오전 7:00:00,2022-05-05 오전 7:07:01,2022-05-05 오전 7:13:28,강서구,방화제2동,강서구,발산제1동,2022/05/05 7:00,2022/05/05 7:13,13,7,37.56,126.8,37.55,126.83
3570,중형 승합,2022-05-05 오전 7:00:00,2022-05-05 오전 7:29:41,2022-05-05 오전 7:43:41,강서구,가양제1동,서대문구,신촌동,2022/05/05 7:00,2022/05/05 7:43,43,7,37.57,126.84,37.57,126.93
