,no,cartype,receipttime,settime,ridetime,startpos1,startpos2,endpos1,endpos2,receipt,ride,receipt-ride,hour,startlat,startlon,endlat,endlon
30,1560,중형 승합,2022-05-07 오전 4:54:41,2022-05-07 오전 5:07:37,2022-05-07 오전 5:44:54,금천구,독산제3동,관악구,신사동,2022/05/07 4:54,2022/05/07 5:44,50,4,37.47,126.9,37.48,126.92
31,7913,중형승합,2022-05-07 오전 5:04:00,2022-05-07 오전 5:06:10,2022-05-07 오전 5:18:50,노원구,하계2동,성북구,석관동,2022/05/07 5:04,2022/05/07 5:18,14,5,37.63,127.06,37.6,127.06
32,8075,중형 승합,2022-05-07 오전 5:10:00,2022-05-07 오전 4:48:29,2022-05-07 오전 5:26:22,동작구,신대방제2동,영등포구,신길제6동,2022/05/07 5:10,2022/05/07 5:26,16,5,37.5,126.92,37.5,126.91
33,5783,중형승합,2022-05-07 오전 5:10:00,2022-05-07 오전 4:47:51,2022-05-07 오전 5:22:49,성북구,삼선동,서대문구,충현동,2022/05/07 5:10,2022/05/07 5:22,12,5,37.59,127.01,37.56,126.96
34,7864,중형승합,2022-05-07 오전 5:20:00,2022-05-07 오전 4:58:28,2022-05-07 오전 5:23:21,강북구,송천동,도봉구,쌍문제3동,2022/05/07 5:20,2022/05/07 5:23,3,5,37.61,127.02,37.65,127.03
36,5737,중형승합,2022-05-07 오전 5:30:00,2022-05-07 오전 4:56:50,2022-05-07 오전 5:31:09,송파구,거여1동,송파구,풍납2동,2022/05/07 5:30,2022/05/07 5:31,1,5,37.49,127.14,37.53,127.11
37,8231,중형승합,2022-05-07 오전 5:30:00,2022-05-07 오전 5:09:24,2022-05-07 오전 5:36:57,중구,회현동,동작구,상도제1동,2022/05/07 5:30,2022/05/07 5:36,6,5,37.55,126.98,37.5,126.95
38,5783,중형승합,2022-05-07 오전 5:34:14,2022-05-07 오전 5:47:59,2022-05-07 오전 6:00:36,서대문구,신촌동,서대문구,신촌동,2022/05/07 5:34,2022/05/07 6:00,26,5,37.56,126.94,37.57,126.93
39,1554,중형 승합,2022-05-07 오전 5:41:07,2022-05-07 오전 5:50:37,2022-05-07 오전 6:02:44,중랑구,망우본동,중랑구,신내1동,2022/05/07 5:41,2022/05/07 6:02,21,5,37.6,127.1,37.61,127.1
40,1560,중형 승합,2022-05-07 오전 5:56:24,2022-05-07 오전 6:01:21,2022-05-07 오전 6:13:25,관악구,성현동,관악구,서원동,2022/05/07 5:56,2022/05/07 6:13,17,5,37.49,126.94,37.48,126.93
41,7864,중형승합,2022-05-07 오전 5:58:00,2022-05-07 오전 6:01:19,2022-05-07 오전 6:14:46,노원구,중계2.3동,노원구,상계6.7동,2022/05/07 5:58,2022/05/07 6:14,16,5,37.64,127.06,37.65,127.06
42,824,중형승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:07:19,2022-05-07 오전 7:17:08,중랑구,면목제4동,중랑구,면목제3.8동,2022/05/07 7:00,2022/05/07 7:17,17,7,37.57,127.08,37.58,127.1
43,8210,중형승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:08:42,2022-05-07 오전 7:17:12,강서구,방화제2동,강서구,발산제1동,2022/05/07 7:00,2022/05/07 7:17,17,7,37.56,126.8,37.55,126.83
44,3586,중형 승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:08:14,2022-05-07 오전 7:16:35,마포구,성산제2동,마포구,서교동,2022/05/07 7:00,2022/05/07 7:16,16,7,37.57,126.9,37.55,126.92
