,no,cartype,receipttime,settime,ridetime,startpos1,startpos2,endpos1,endpos2,receipt,ride,receipt-ride,hour,startlat,startlon,endlat,endlon
500,5753,중형승합,2022-05-02 오전 12:33:00,2022-05-02 오전 1:02:56,2022-05-02 오전 1:08:51,용산구,이태원제1동,성동구,왕십리제2동,2022/05/02 0:33,2022/05/02 1:08,35,0,37.53,127,37.56,127.02
501,8241,중형승합,2022-05-02 오전 12:47:26,2022-05-02 오전 1:01:38,2022-05-02 오전 1:26:47,동작구,상도제1동,광진구,중곡제1동,2022/05/02 0:47,2022/05/02 1:26,39,0,37.5,126.95,37.56,127.07
502,7632,중형승합,2022-05-02 오전 1:08:00,2022-05-02 오전 1:53:24,2022-05-02 오전 2:10:31,종로구,이화동,광진구,중곡제3동,2022/05/02 1:08,2022/05/02 2:10,62,1,37.58,127,37.57,127.08
503,4164,중형승합,2022-05-02 오전 1:25:00,2022-05-02 오전 1:30:17,2022-05-02 오전 1:40:50,노원구,상계9동,노원구,중계2.3동,2022/05/02 1:25,2022/05/02 1:40,15,1,37.66,127.06,37.64,127.07
504,7659,중형승합,2022-05-02 오전 2:53:00,2022-05-02 오전 3:01:26,2022-05-02 오전 3:17:20,관악구,행운동,서대문구,충현동,2022/05/02 2:53,2022/05/02 3:17,24,2,37.48,126.95,37.56,126.96
505,3689,중형 승합,2022-05-02 오전 2:59:33,2022-05-02 오전 3:04:12,2022-05-02 오전 3:18:03,도봉구,창제5동,노원구,상계6.7동,2022/05/02 2:59,2022/05/02 3:18,19,2,37.65,127.04,37.65,127.06
506,4984,중형 승합,2022-05-02 오전 3:02:00,2022-05-02 오전 3:10:21,2022-05-02 오전 3:34:33,금천구,시흥제2동,중구,광희동,2022/05/02 3:02,2022/05/02 3:34,32,3,37.45,126.92,37.58,126.99
507,801,중형승합,2022-05-02 오전 3:24:55,2022-05-02 오전 3:32:21,2022-05-02 오전 3:56:37,도봉구,도봉제2동,서대문구,홍제제2동,2022/05/02 3:24,2022/05/02 3:56,32,3,37.68,127.05,37.58,126.95
508,8049,중형 승합,2022-05-02 오전 3:41:00,2022-05-02 오전 3:46:08,2022-05-02 오전 4:09:41,노원구,중계4동,광진구,화양동,2022/05/02 3:41,2022/05/02 4:09,28,3,37.66,127.07,37.54,127.07
509,8267,중형승합,2022-05-02 오전 4:00:00,2022-05-02 오전 4:03:40,2022-05-02 오전 4:22:34,동작구,대방동,영등포구,여의동,2022/05/02 4:00,2022/05/02 4:22,22,4,37.51,126.92,37.52,126.92
510,8270,중형승합,2022-05-02 오전 4:11:00,2022-05-02 오전 4:21:28,2022-05-02 오전 4:47:28,관악구,삼성동,관악구,신림동,2022/05/02 4:11,2022/05/02 4:47,36,4,37.47,126.93,37.48,126.92
511,7633,중형승합,2022-05-02 오전 4:19:00,2022-05-02 오전 4:29:03,2022-05-02 오전 5:02:48,강남구,수서동,성동구,왕십리도선동,2022/05/02 4:19,2022/05/02 5:02,43,4,37.485,127.1,37.57,127.03
512,3689,중형 승합,2022-05-02 오전 4:31:12,2022-05-02 오전 4:33:30,2022-05-02 오전 4:42:13,노원구,하계1동,도봉구,방학제1동,2022/05/02 4:31,2022/05/02 4:42,11,4,37.64,127.07,37.66,127.04
513,7632,중형승합,2022-05-02 오전 4:33:00,2022-05-02 오전 4:40:06,2022-05-02 오전 4:55:12,성동구,금호1가동,중랑구,면목제3.8동,2022/05/02 4:33,2022/05/02 4:55,22,4,37.56,127.02,37.58,127.1
514,7659,중형승합,2022-05-02 오전 4:40:00,2022-05-02 오전 4:18:15,2022-05-02 오전 4:50:25,양천구,신월3동,구로구,신도림동,2022/05/02 4:40,2022/05/02 4:50,10,4,37.53,126.82,37.5,126.88
515,5750,중형승합,2022-05-02 오전 4:43:00,2022-05-02 오전 4:49:43,2022-05-02 오전 5:17:29,강서구,발산제1동,강서구,등촌제3동,2022/05/02 4:43,2022/05/02 5:17,34,4,37.55,126.83,37.55,126.84
516,4976,중형 승합,2022-05-02 오전 4:44:10,2022-05-02 오전 4:46:15,2022-05-02 오전 5:05:51,동대문구,이문제3동,송파구,오금동,2022/05/02 4:44,2022/05/02 5:05,21,4,37.6,127.07,37.5,127.13
517,5753,중형승합,2022-05-02 오전 4:50:00,2022-05-02 오전 4:53:21,2022-05-02 오전 5:13:22,동작구,상도제3동,동작구,신대방제2동,2022/05/02 4:50,2022/05/02 5:13,23,4,37.5,126.93,37.49,126.92
518,6780,중형승합,2022-05-02 오전 5:00:00,2022-05-02 오전 4:33:23,2022-05-02 오전 4:59:42,구로구,구로제4동,금천구,시흥제1동,2022/05/02 5:00,2022/05/02 4:59,1,5,37.49,126.89,37.45,126.9
519,8029,중형 승합,2022-05-02 오전 5:00:00,2022-05-02 오전 4:31:31,2022-05-02 오전 5:24:22,마포구,아현동,서대문구,충현동,2022/05/02 5:00,2022/05/02 5:24,24,5,37.55,126.95,37.56,126.96
520,8241,중형승합,2022-05-02 오전 5:00:00,2022-05-02 오전 4:24:43,2022-05-02 오전 5:01:46,양천구,신정7동,영등포구,양평제2동,2022/05/02 5:00,2022/05/02 5:01,1,5,37.51,126.86,37.53,126.89
521,813,중형승합,2022-05-02 오전 5:00:00,2022-05-02 오전 4:25:01,2022-05-02 오전 5:12:21,은평구,수색동,송파구,가락1동,2022/05/02 5:00,2022/05/02 5:12,12,5,37.59,126.89,37.49,127.1
522,7659,중형승합,2022-05-02 오전 5:05:21,2022-05-02 오전 5:06:34,2022-05-02 오전 5:20:14,금천구,독산제1동,금천구,가산동,2022/05/02 5:05,2022/05/02 5:20,15,5,37.47,126.9,37.47,126.89
523,8085,중형 승합,2022-05-02 오전 5:20:00,2022-05-02 오전 4:56:19,2022-05-02 오전 5:23:44,중랑구,망우본동,중랑구,면목제3.8동,2022/05/02 5:20,2022/05/02 5:23,3,5,37.6,127.1,37.58,127.1
524,5750,중형승합,2022-05-02 오전 5:30:00,2022-05-02 오전 5:35:02,2022-05-02 오전 6:00:27,서대문구,신촌동,양천구,목5동,2022/05/02 5:30,2022/05/02 6:00,30,5,37.56,126.94,37.53,126.88
525,4164,중형승합,2022-05-02 오전 5:30:00,2022-05-02 오전 5:02:18,2022-05-02 오전 5:23:38,노원구,월계2동,성북구,안암동,2022/05/02 5:30,2022/05/02 5:23,7,5,37.63,127.05,37.58,127.03
526,801,중형승합,2022-05-02 오전 5:50:00,2022-05-02 오전 5:13:42,2022-05-02 오전 6:03:50,관악구,청룡동,관악구,보라매동,2022/05/02 5:50,2022/05/02 6:03,13,5,37.48,126.94,37.49,126.93
527,7957,중형승용,2022-05-02 오전 6:40:05,2022-05-02 오전 6:58:50,2022-05-02 오전 7:17:38,양천구,신월1동,종로구,이화동,2022/05/02 6:40,2022/05/02 7:17,37,6,37.53,126.83,37.58,127
528,8105,중형승합,2022-05-02 오전 7:00:00,2022-05-02 오전 7:05:45,2022-05-02 오전 7:32:21,송파구,방이2동,광진구,중곡제1동,2022/05/02 7:00,2022/05/02 7:32,32,7,37.51,127.11,37.56,127.07
529,8153,중형 승합,2022-05-02 오전 7:00:00,2022-05-02 오전 7:05:20,2022-05-02 오전 7:13:35,노원구,공릉2동,중랑구,묵제1동,2022/05/02 7:00,2022/05/02 7:13,13,7,37.62,127.08,37.61,127.08
530,1564,중형 승합,2022-05-02 오전 7:00:00,2022-05-02 오전 7:07:03,2022-05-02 오전 7:19:31,금천구,시흥제1동,영등포구,대림제3동,2022/05/02 7:00,2022/05/02 7:19,19,7,37.45,126.9,37.5,126.9
531,1564,중형 승합,2022-05-02 오전 7:00:00,2022-05-02 오전 7:43:05,2022-05-02 오전 8:10:06,동작구,상도제1동,마포구,상암동,2022/05/02 7:00,2022/05/02 8:10,70,7,37.5,126.95,37.58,126.89
532,4154,중형승합,2022-05-02 오전 7:00:00,2022-05-02 오전 7:07:36,2022-05-02 오전 7:31:49,동작구,상도제1동,양천구,신정7동,2022/05/02 7:00,2022/05/02 7:31,31,7,37.5,126.95,37.5,126.86
533,6773,중형승합,2022-05-02 오전 7:00:00,2022-05-02 오전 7:04:28,2022-05-02 오전 7:19:40,종로구,무악동,마포구,염리동,2022/05/02 7:00,2022/05/02 7:19,19,7,37.57,126.95,37.55,126.94
534,5631,중형승합,2022-05-02 오전 7:00:00,2022-05-02 오전 7:17:43,2022-05-02 오전 7:54:34,양천구,신월2동,구로구,수궁동,2022/05/02 7:00,2022/05/02 7:54,54,7,37.52,128.84,37.49,126.83
535,3692,중형승합,2022-05-02 오전 7:00:00,2022-05-02 오전 7:06:09,2022-05-02 오전 7:21:55,서대문구,신촌동,마포구,망원제1동,2022/05/02 7:00,2022/05/02 7:21,21,7,37.56,126.94,37.55,126.9
536,3692,중형승합,2022-05-02 오전 7:00:00,2022-05-02 오전 7:41:59,2022-05-02 오전 7:55:41,마포구,성산제2동,종로구,교남동,2022/05/02 7:00,2022/05/02 7:55,55,7,37.57,126.9,37.57,126.96
537,3265,중형승용,2022-05-02 오전 7:00:00,2022-05-02 오전 6:48:23,2022-05-02 오전 7:19:23,관악구,중앙동,강남구,압구정동,2022/05/02 7:00,2022/05/02 7:19,19,7,37.48,126.95,37.53,127.03
538,1075,중형승용,2022-05-02 오전 7:00:00,2022-05-02 오전 6:57:42,2022-05-02 오전 7:11:24,송파구,장지동,영등포구,여의동,2022/05/02 7:00,2022/05/02 7:11,11,7,37.48,127.13,37.52,126.92
539,8065,중형 승합,2022-05-02 오전 7:00:00,2022-05-02 오전 7:39:49,2022-05-02 오전 7:49:52,강동구,명일제1동,강동구,둔촌제2동,2022/05/02 7:00,2022/05/02 7:49,49,7,37.55,127.144,37.53,127.14
540,8065,중형 승합,2022-05-02 오전 7:00:00,2022-05-02 오전 7:39:49,2022-05-02 오전 7:49:52,강동구,명일제1동,강동구,둔촌제2동,2022/05/02 7:00,2022/05/02 7:49,49,7,37.55,127.144,37.53,127.14
541,8065,중형 승합,2022-05-02 오전 7:00:00,2022-05-02 오전 7:04:13,2022-05-02 오전 7:24:37,강동구,천호제1동,강동구,상일동,2022/05/02 7:00,2022/05/02 7:24,24,7,37.54,127.13,37.55,127.16
542,3644,중형 승합,2022-05-02 오전 7:00:00,2022-05-02 오전 7:10:45,2022-05-02 오전 7:27:34,동작구,신대방제1동,금천구,독산제3동,2022/05/02 7:00,2022/05/02 7:27,27,7,37.49,126.91,37.47,126.9
543,8208,중형승합,2022-05-02 오전 7:00:00,2022-05-02 오전 7:07:53,2022-05-02 오전 7:31:11,강남구,개포4동,강남구,대치1동,2022/05/02 7:00,2022/05/02 7:31,31,7,37.47,127.04,37.49,127.05
544,8178,중형 승합,2022-05-02 오전 7:00:00,2022-05-02 오전 7:08:00,2022-05-02 오전 7:15:51,마포구,도화동,은평구,진관동,2022/05/02 7:00,2022/05/02 7:15,15,7,37.55,126.95,37.64,126.92
545,7600,중형승합,2022-05-02 오전 7:00:00,2022-05-02 오전 7:05:38,2022-05-02 오전 7:23:35,강서구,등촌제3동,종로구,종로1.2.3.4가동,2022/05/02 7:00,2022/05/02 7:23,23,7,37.55,126.84,37.57,126.98
546,7904,중형승합,2022-05-02 오전 7:00:00,2022-05-02 오전 7:09:36,2022-05-02 오전 7:28:34,노원구,상계3.4동,노원구,상계6.7동,2022/05/02 7:00,2022/05/02 7:28,28,7,37.67,127.08,37.65,127.06
547,6174,중형 승합,2022-05-02 오전 7:00:00,2022-05-02 오전 7:05:53,2022-05-02 오전 7:25:18,동작구,상도제1동,마포구,아현동,2022/05/02 7:00,2022/05/02 7:25,25,7,37.5,126.95,37.55,126.95
548,4874,중형 승합,2022-05-02 오전 7:00:00,2022-05-02 오전 7:06:31,2022-05-02 오전 7:28:52,구로구,오류제2동,영등포구,영등포동,2022/05/02 7:00,2022/05/02 7:28,28,7,37.49,126.84,37.52,126.9
549,9155,중형 승합,2022-05-02 오전 7:00:00,2022-05-02 오전 7:04:19,2022-05-02 오전 7:24:28,송파구,장지동,서대문구,신촌동,2022/05/02 7:00,2022/05/02 7:24,24,7,37.48,127.13,37.57,126.93
550,8010,중형 승합,2022-05-02 오전 7:00:00,2022-05-02 오전 7:05:03,2022-05-02 오전 7:33:57,은평구,구산동,은평구,구산동,2022/05/02 7:00,2022/05/02 7:33,33,7,37.61,126.91,37.6,126.9
551,8200,중형승합,2022-05-02 오전 7:00:00,2022-05-02 오전 7:08:57,2022-05-02 오전 7:29:18,강서구,화곡본동,강서구,발산제1동,2022/05/02 7:00,2022/05/02 7:29,29,7,37.54,126.84,37.55,126.83
552,4962,중형 승합,2022-05-02 오전 7:00:00,2022-05-02 오전 7:09:21,2022-05-02 오전 7:28:33,노원구,월계2동,중랑구,신내1동,2022/05/02 7:00,2022/05/02 7:28,28,7,37.63,127.05,37.61,127.1
553,8074,중형 승합,2022-05-02 오전 7:00:00,2022-05-02 오전 7:10:23,2022-05-02 오전 7:38:11,동작구,사당제3동,종로구,청운효자동,2022/05/02 7:00,2022/05/02 7:38,38,7,37.49,126.98,37.58,126.97
554,8141,중형승합,2022-05-02 오전 7:00:00,2022-05-02 오전 7:03:42,2022-05-02 오전 7:20:15,마포구,염리동,중구,소공동,2022/05/02 7:00,2022/05/02 7:20,20,7,37.55,126.94,37.56,126.97
555,4392,중형승용,2022-05-02 오전 7:00:00,2022-05-02 오전 7:01:47,2022-05-02 오전 7:29:44,강북구,번제2동,노원구,월계2동,2022/05/02 7:00,2022/05/02 7:29,29,7,37.63,127.04,37.63,127.05
556,4392,중형승용,2022-05-02 오전 7:00:00,2022-05-02 오전 7:40:08,2022-05-02 오전 8:00:50,노원구,중계1동,노원구,상계2동,2022/05/02 7:00,2022/05/02 8:00,60,7,37.65,127.07,37.65,127.06
557,4582,중형승용,2022-05-02 오전 7:00:00,2022-05-02 오전 7:15:47,2022-05-02 오전 7:46:50,성북구,정릉제3동,강동구,길동,2022/05/02 7:00,2022/05/02 7:46,46,7,37.6,126.99,37.53,127.14
558,811,중형승합,2022-05-02 오전 7:00:00,2022-05-02 오전 7:08:41,2022-05-02 오전 7:43:45,도봉구,방학제2동,종로구,종로1.2.3.4가동,2022/05/02 7:00,2022/05/02 7:43,43,7,37.67,127.03,37.57,126.98
559,9160,중형 승합,2022-05-02 오전 7:00:00,2022-05-02 오전 7:37:19,2022-05-02 오전 7:56:34,은평구,수색동,영등포구,당산제1동,2022/05/02 7:00,2022/05/02 7:56,56,7,37.59,126.89,37.52,126.9
560,9160,중형 승합,2022-05-02 오전 7:00:00,2022-05-02 오전 7:02:54,2022-05-02 오전 7:21:48,서대문구,연희동,은평구,구산동,2022/05/02 7:00,2022/05/02 7:21,21,7,37.57,126.93,37.6,126.9
561,7804,중형승합,2022-05-02 오전 7:00:00,2022-05-02 오전 7:07:12,2022-05-02 오전 7:29:40,용산구,이태원제1동,노원구,상계6.7동,2022/05/02 7:00,2022/05/02 7:29,29,7,37.53,127,37.65,127.06
562,5785,중형승합,2022-05-02 오전 7:00:00,2022-05-02 오전 7:07:18,2022-05-02 오전 7:19:03,중랑구,면목제5동,동대문구,휘경제2동,2022/05/02 7:00,2022/05/02 7:19,19,7,37.58,127.07,37.59,127.07
563,3570,중형 승합,2022-05-02 오전 7:00:00,2022-05-02 오전 7:09:44,2022-05-02 오전 7:39:29,강서구,가양제1동,양천구,신정3동,2022/05/02 7:00,2022/05/02 7:39,39,7,37.57,126.84,37.51,126.84
564,3570,중형 승합,2022-05-02 오전 7:00:00,2022-05-02 오전 7:09:44,2022-05-02 오전 7:39:29,강서구,가양제1동,양천구,신정3동,2022/05/02 7:00,2022/05/02 7:39,39,7,37.57,126.84,37.51,126.84
565,5586,중형승합,2022-05-02 오전 7:00:00,2022-05-02 오전 7:04:35,2022-05-02 오전 7:19:17,송파구,풍납1동,강남구,삼성2동,2022/05/02 7:00,2022/05/02 7:19,19,7,37.53,127.12,37.51,127.05
566,8035,중형 승합,2022-05-02 오전 7:00:00,2022-05-02 오전 7:06:12,2022-05-02 오전 7:21:43,영등포구,영등포동,서대문구,연희동,2022/05/02 7:00,2022/05/02 7:21,21,7,37.52,126.9,37.57,126.93
567,6084,중형 승합,2022-05-02 오전 7:00:00,2022-05-02 오전 7:08:41,2022-05-02 오전 7:28:09,강서구,가양제1동,중랑구,신내1동,2022/05/02 7:00,2022/05/02 7:28,28,7,37.57,126.84,37.61,127.1
568,7816,중형승합,2022-05-02 오전 7:00:00,2022-05-02 오전 7:07:26,2022-05-02 오전 7:22:42,종로구,명륜3가동,종로구,종로5.6가동,2022/05/02 7:00,2022/05/02 7:22,22,7,37.57,127,37.57,127
569,6015,중형승용,2022-05-02 오전 7:00:00,2022-05-02 오전 6:58:56,2022-05-02 오전 7:32:06,송파구,거여1동,강서구,가양제1동,2022/05/02 7:00,2022/05/02 7:32,32,7,37.49,127.14,37.57,126.83
570,4784,중형 승합,2022-05-02 오전 7:00:00,2022-05-02 오전 7:07:13,2022-05-02 오전 7:29:08,용산구,남영동,금천구,가산동,2022/05/02 7:00,2022/05/02 7:29,29,7,37.54,126.97,37.47,126.89
571,6278,중형승용,2022-05-02 오전 7:00:00,2022-05-02 오전 6:38:38,2022-05-02 오전 6:49:59,구로구,개봉제2동,강동구,둔촌제2동,2022/05/02 7:00,2022/05/02 6:49,11,7,37.49,126.85,37.53,127.14
572,9631,중형승용,2022-05-02 오전 7:00:00,2022-05-02 오전 6:38:16,2022-05-02 오전 6:58:40,양천구,신정7동,강동구,둔촌제2동,2022/05/02 7:00,2022/05/02 6:58,2,7,37.51,126.86,37.53,127.14
573,8054,중형 승합,2022-05-02 오전 7:00:00,2022-05-02 오전 7:09:11,2022-05-02 오전 7:29:35,강서구,가양제1동,서대문구,신촌동,2022/05/02 7:00,2022/05/02 7:29,29,7,37.57,126.84,37.57,126.93
574,9128,중형 승합,2022-05-02 오전 7:00:00,2022-05-02 오전 7:43:13,2022-05-02 오전 8:05:28,강서구,등촌제3동,영등포구,여의동,2022/05/02 7:00,2022/05/02 8:05,65,7,37.55,126.84,37.52,126.92
575,9128,중형 승합,2022-05-02 오전 7:00:00,2022-05-02 오전 7:08:19,2022-05-02 오전 7:26:41,강서구,공항동,강서구,화곡제6동,2022/05/02 7:00,2022/05/02 7:26,26,7,37.55,126.81,37.55,126.85
576,5741,중형승합,2022-05-02 오전 7:00:00,2022-05-02 오전 7:22:28,2022-05-02 오전 7:42:41,구로구,구로제3동,영등포구,대림제1동,2022/05/02 7:00,2022/05/02 7:42,42,7,37.48,126.89,37.49,126.9
577,3551,중형 승합,2022-05-02 오전 7:00:00,2022-05-02 오전 7:05:28,2022-05-02 오전 7:13:31,마포구,성산제2동,강남구,대치2동,2022/05/02 7:00,2022/05/02 7:13,13,7,37.57,126.9,37.49,127.06
578,3551,중형 승합,2022-05-02 오전 7:00:00,2022-05-02 오전 7:05:28,2022-05-02 오전 7:13:31,마포구,성산제2동,강남구,대치2동,2022/05/02 7:00,2022/05/02 7:13,13,7,37.57,126.9,37.49,127.06
579,6781,중형승합,2022-05-02 오전 7:00:00,2022-05-02 오전 7:09:17,2022-05-02 오전 7:35:48,강남구,압구정동,중구,필동,2022/05/02 7:00,2022/05/02 7:35,35,7,37.52,127.03,37.55,126.99
580,1647,중형승용,2022-05-02 오전 7:00:00,2022-05-02 오전 6:59:43,2022-05-02 오전 7:16:55,영등포구,대림제1동,서대문구,남가좌제2동,2022/05/02 7:00,2022/05/02 7:16,16,7,37.49,126.9,37.58,126.92
581,1647,중형승용,2022-05-02 오전 7:00:00,2022-05-02 오전 6:40:13,2022-05-02 오전 6:56:31,양천구,신정4동,양천구,목1동,2022/05/02 7:00,2022/05/02 6:56,4,7,37.52,126.85,37.53,126.87
582,1446,대형승용,2022-05-02 오전 7:00:00,2022-05-02 오전 7:13:04,2022-05-02 오전 7:32:16,관악구,서원동,양천구,신월1동,2022/05/02 7:00,2022/05/02 7:32,32,7,37.48,126.93,37.53,126.83
583,5789,중형승합,2022-05-02 오전 7:00:00,2022-05-02 오전 7:03:39,2022-05-02 오전 7:22:33,용산구,이촌제1동,은평구,역촌동,2022/05/02 7:00,2022/05/02 7:22,22,7,37.52,126.97,37.6,126.91
584,3610,중형 승합,2022-05-02 오전 7:00:00,2022-05-02 오전 7:04:19,2022-05-02 오전 7:25:08,동대문구,이문제2동,중구,소공동,2022/05/02 7:00,2022/05/02 7:25,25,7,37.6,127.06,37.56,126.97
586,8373,중형승용,2022-05-02 오전 7:00:00,2022-05-02 오전 6:48:12,2022-05-02 오전 7:04:48,동작구,신대방제2동,구로구,구로제2동,2022/05/02 7:00,2022/05/02 7:04,4,7,37.5,126.92,37.5,126.87
587,823,중형승합,2022-05-02 오전 7:00:00,2022-05-02 오전 7:04:07,2022-05-02 오전 7:14:52,노원구,월계2동,종로구,종로1.2.3.4가동,2022/05/02 7:00,2022/05/02 7:14,14,7,37.63,127.05,37.57,126.98
588,8028,중형 승합,2022-05-02 오전 7:00:00,2022-05-02 오전 7:04:58,2022-05-02 오전 7:15:49,광진구,군자동,송파구,문정2동,2022/05/02 7:00,2022/05/02 7:15,15,7,37.55,127.07,37.48,127.12
589,8270,중형승합,2022-05-02 오전 7:00:00,2022-05-02 오전 7:08:48,2022-05-02 오전 7:43:39,서초구,서초4동,서초구,내곡동,2022/05/02 7:00,2022/05/02 7:43,43,7,37.5,127.01,37.46,127.08
590,7909,중형승합,2022-05-02 오전 7:00:00,2022-05-02 오전 7:08:56,2022-05-02 오전 7:36:09,양천구,신월2동,서대문구,신촌동,2022/05/02 7:00,2022/05/02 7:36,36,7,37.52,129.84,37.57,126.93
591,7801,중형승합,2022-05-02 오전 7:00:00,2022-05-02 오전 7:09:09,2022-05-02 오전 7:25:10,마포구,성산제1동,마포구,서교동,2022/05/02 7:00,2022/05/02 7:25,25,7,37.56,126.91,37.55,126.92
592,7801,중형승합,2022-05-02 오전 7:00:00,2022-05-02 오전 7:41:10,2022-05-02 오전 7:50:29,마포구,성산제1동,송파구,가락본동,2022/05/02 7:00,2022/05/02 7:50,50,7,37.56,126.91,37.49,127.12
593,7821,중형승합,2022-05-02 오전 7:00:00,2022-05-02 오전 7:09:31,2022-05-02 오전 7:21:26,양천구,신정4동,강동구,둔촌제2동,2022/05/02 7:00,2022/05/02 7:21,21,7,37.52,126.85,37.53,127.14
594,8268,중형승합,2022-05-02 오전 7:00:00,2022-05-02 오전 7:06:57,2022-05-02 오전 7:33:43,강서구,가양제2동,영등포구,양평제2동,2022/05/02 7:00,2022/05/02 7:33,33,7,37.56,126.85,37.53,126.89
595,4174,중형승합,2022-05-02 오전 7:00:00,2022-05-02 오전 7:08:49,2022-05-02 오전 7:24:16,노원구,공릉1.3동,중랑구,묵제2동,2022/05/02 7:00,2022/05/02 7:24,24,7,37.62,127.07,37.61,127.07
596,3612,중형승합,2022-05-02 오전 7:00:00,2022-05-02 오전 7:07:32,2022-05-02 오전 7:49:52,강북구,송중동,서초구,서초1동,2022/05/02 7:00,2022/05/02 7:49,49,7,37.61,127.03,37.49,127.02
597,3614,중형 승합,2022-05-02 오전 7:00:00,2022-05-02 오전 7:08:56,2022-05-02 오전 7:16:50,강서구,방화제2동,양천구,목1동,2022/05/02 7:00,2022/05/02 7:16,16,7,37.56,126.8,37.53,126.87
598,7638,중형승합,2022-05-02 오전 7:00:00,2022-05-02 오전 7:03:36,2022-05-02 오전 7:18:51,강남구,수서동,서초구,양재2동,2022/05/02 7:00,2022/05/02 7:18,18,7,37.485,127.1,37.45,127.05
599,7845,중형 승합,2022-05-02 오전 7:00:00,2022-05-02 오전 7:09:18,2022-05-02 오전 7:35:19,성북구,종암동,종로구,사직동,2022/05/02 7:00,2022/05/02 7:35,35,7,37.59,127.03,37.57,126.96
600,6772,중형승합,2022-05-02 오전 7:00:00,2022-05-02 오전 7:09:04,2022-05-02 오전 7:27:19,강북구,우이동,노원구,상계6.7동,2022/05/02 7:00,2022/05/02 7:27,27,7,37.65,127,37.65,127.06
601,9144,중형 승합,2022-05-02 오전 7:00:00,2022-05-02 오전 7:07:19,2022-05-02 오전 7:14:40,강동구,암사제1동,용산구,한남동,2022/05/02 7:00,2022/05/02 7:14,14,7,37.55,127.13,37.53,127
602,3705,중형승합,2022-05-02 오전 7:00:00,2022-05-02 오전 7:03:31,2022-05-02 오전 7:26:05,강북구,번제2동,성북구,길음제1동,2022/05/02 7:00,2022/05/02 7:26,26,7,37.63,127.04,37.61,127.02
603,7865,중형승합,2022-05-02 오전 7:00:00,2022-05-02 오전 8:05:16,2022-05-02 오전 8:31:14,강서구,화곡제1동,강서구,가양제3동,2022/05/02 7:00,2022/05/02 8:31,91,7,37.53,126.84,37.56,126.86
604,820,중형승합,2022-05-02 오전 7:00:00,2022-05-02 오전 7:09:34,2022-05-02 오전 7:21:14,중랑구,망우본동,은평구,구산동,2022/05/02 7:00,2022/05/02 7:21,21,7,37.6,127.1,37.6,126.9
605,8042,중형 승합,2022-05-02 오전 7:00:00,2022-05-02 오전 7:06:54,2022-05-02 오전 7:29:36,강남구,세곡동,중랑구,신내1동,2022/05/02 7:00,2022/05/02 7:29,29,7,37.46,127.1,37.61,127.1
606,8070,중형 승합,2022-05-02 오전 7:00:00,2022-05-02 오전 7:05:46,2022-05-02 오전 7:19:50,노원구,상계8동,종로구,사직동,2022/05/02 7:00,2022/05/02 7:19,19,7,37.66,127.05,37.57,126.96
607,3586,중형 승합,2022-05-02 오전 7:00:00,2022-05-02 오전 7:07:29,2022-05-02 오전 7:26:47,마포구,연남동,영등포구,여의동,2022/05/02 7:00,2022/05/02 7:26,26,7,37.56,126.92,37.52,126.92
608,7641,중형승합,2022-05-02 오전 7:00:00,2022-05-02 오전 7:02:11,2022-05-02 오전 7:14:08,성동구,송정동,종로구,이화동,2022/05/02 7:00,2022/05/02 7:14,14,7,37.55,127.07,37.58,127
609,7846,중형 승합,2022-05-02 오전 7:00:00,2022-05-02 오전 7:10:03,2022-05-02 오전 7:34:58,성동구,금호2.3가동,성동구,마장동,2022/05/02 7:00,2022/05/02 7:34,34,7,37.55,127.02,37.56,127.04
610,8165,중형승합,2022-05-02 오전 7:00:00,2022-05-02 오전 7:10:06,2022-05-02 오전 7:28:18,용산구,용문동,은평구,역촌동,2022/05/02 7:00,2022/05/02 7:28,28,7,37.53,126.95,37.6,126.91
612,8420,대형승용,2022-05-02 오전 7:00:00,2022-05-02 오전 7:05:51,2022-05-02 오전 7:14:54,양천구,목1동,강서구,화곡제6동,2022/05/02 7:00,2022/05/02 7:14,14,7,37.52,126.87,37.55,126.85
613,5176,대형승용,2022-05-02 오전 7:00:00,2022-05-02 오전 7:08:27,2022-05-02 오전 7:30:15,서대문구,북가좌제1동,서대문구,신촌동,2022/05/02 7:00,2022/05/02 7:30,30,7,37.57,126.9,37.57,126.93
614,2721,중형승용,2022-05-02 오전 7:00:00,2022-05-02 오전 6:50:29,2022-05-02 오전 7:03:17,광진구,중곡제3동,광진구,중곡제2동,2022/05/02 7:00,2022/05/02 7:03,3,7,37.57,127.08,37.56,127.08
615,3598,중형 승합,2022-05-02 오전 7:00:00,2022-05-02 오전 7:04:48,2022-05-02 오전 7:34:22,관악구,낙성대동,송파구,문정2동,2022/05/02 7:00,2022/05/02 7:34,34,7,37.47,126.96,37.48,127.12
616,3698,중형 승합,2022-05-02 오전 7:00:00,2022-05-02 오전 7:08:57,2022-05-02 오전 7:26:57,중구,광희동,종로구,사직동,2022/05/02 7:00,2022/05/02 7:26,26,7,37.56,127,37.57,126.96
617,7919,중형승합,2022-05-02 오전 7:00:00,2022-05-02 오전 7:08:32,2022-05-02 오전 7:20:35,노원구,상계8동,영등포구,영등포동,2022/05/02 7:00,2022/05/02 7:20,20,7,37.66,127.05,37.52,126.9
