,no,cartype,receipttime,settime,ridetime,startpos1,startpos2,endpos1,endpos2,receipt,ride,receipt-ride,hour,startlat,startlon,endlat,endlon,startplus,endplus,gotowork,gotoschool,gotocharge,end_destination
24,7906,중형승합,2022-05-07 오전 4:42:00,2022-05-07 오전 4:43:19,2022-05-07 오전 4:55:47,9,133,9,126,2022/05/07 4:42,2022/05/07 4:55,13,4,37.47,126.93,37.48,126.93,7469,7469,0,0,0,0.0
25,8279,중형 승합,2022-05-07 오전 4:51:00,2022-05-07 오전 5:00:34,2022-05-07 오전 5:13:17,15,42,15,119,2022/05/07 4:51,2022/05/07 5:13,22,4,37.64,127.06,37.65,127.06,7670,7670,0,0,0,0.0
26,1560,중형 승합,2022-05-07 오전 4:54:41,2022-05-07 오전 5:07:37,2022-05-07 오전 5:44:54,8,160,9,298,2022/05/07 4:54,2022/05/07 5:44,50,4,37.47,126.9,37.48,126.92,7469,7469,0,0,0,0.0
27,7913,중형승합,2022-05-07 오전 5:04:00,2022-05-07 오전 5:06:10,2022-05-07 오전 5:18:50,15,171,6,164,2022/05/07 5:04,2022/05/07 5:18,14,5,37.63,127.06,37.6,127.06,7670,7670,0,0,0,0.0
28,8075,중형 승합,2022-05-07 오전 5:10:00,2022-05-07 오전 4:48:29,2022-05-07 오전 5:26:22,3,40,19,227,2022/05/07 5:10,2022/05/07 5:26,16,5,37.5,126.92,37.5,126.91,7569,7569,0,0,0,0.0
29,5783,중형승합,2022-05-07 오전 5:10:00,2022-05-07 오전 4:47:51,2022-05-07 오전 5:22:49,6,125,13,150,2022/05/07 5:10,2022/05/07 5:22,12,5,37.59,127.01,37.56,126.96,7570,7569,0,0,0,0.0
30,7864,중형승합,2022-05-07 오전 5:20:00,2022-05-07 오전 4:58:28,2022-05-07 오전 5:23:21,23,82,12,92,2022/05/07 5:20,2022/05/07 5:23,3,5,37.61,127.02,37.65,127.03,7670,7670,0,0,0,0.0
31,5737,중형승합,2022-05-07 오전 5:30:00,2022-05-07 오전 4:56:50,2022-05-07 오전 5:31:09,1,213,1,299,2022/05/07 5:30,2022/05/07 5:31,1,5,37.49,127.14,37.53,127.11,7471,7571,0,0,0,0.0
32,8231,중형승합,2022-05-07 오전 5:30:00,2022-05-07 오전 5:09:24,2022-05-07 오전 5:36:57,5,45,3,195,2022/05/07 5:30,2022/05/07 5:36,6,5,37.55,126.98,37.5,126.95,7569,7569,0,0,0,0.0
33,5783,중형승합,2022-05-07 오전 5:34:14,2022-05-07 오전 5:47:59,2022-05-07 오전 6:00:36,13,1,13,2,2022/05/07 5:34,2022/05/07 6:00,26,5,37.56,126.94,37.57,126.93,7569,7569,0,0,0,0.0
34,1554,중형 승합,2022-05-07 오전 5:41:07,2022-05-07 오전 5:50:37,2022-05-07 오전 6:02:44,11,286,11,127,2022/05/07 5:41,2022/05/07 6:02,21,5,37.6,127.1,37.61,127.1,7671,7671,0,0,0,0.0
35,1560,중형 승합,2022-05-07 오전 5:56:24,2022-05-07 오전 6:01:21,2022-05-07 오전 6:13:25,9,65,9,126,2022/05/07 5:56,2022/05/07 6:13,17,5,37.49,126.94,37.48,126.93,7469,7469,0,0,0,0.0
36,7864,중형승합,2022-05-07 오전 5:58:00,2022-05-07 오전 6:01:19,2022-05-07 오전 6:14:46,15,42,15,119,2022/05/07 5:58,2022/05/07 6:14,16,5,37.64,127.06,37.65,127.06,7670,7670,0,0,0,0.0
37,824,중형승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:07:19,2022-05-07 오전 7:17:08,11,26,11,283,2022/05/07 7:00,2022/05/07 7:17,17,7,37.57,127.08,37.58,127.1,7570,7571,0,0,0,0.0
38,8210,중형승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:08:42,2022-05-07 오전 7:17:12,24,308,24,233,2022/05/07 7:00,2022/05/07 7:17,17,7,37.56,126.8,37.55,126.83,7568,7568,0,0,0,0.0
39,3586,중형 승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:08:14,2022-05-07 오전 7:16:35,7,31,7,143,2022/05/07 7:00,2022/05/07 7:16,16,7,37.57,126.9,37.55,126.92,7569,7569,0,0,0,0.0
40,5586,중형승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:08:28,2022-05-07 오전 7:22:16,4,117,4,109,2022/05/07 7:00,2022/05/07 7:22,22,7,37.53,127.14,37.53,127.14,7571,7571,0,0,0,0.0
41,8260,중형승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:02:24,2022-05-07 오전 7:19:36,21,195,21,16,2022/05/07 7:00,2022/05/07 7:19,19,7,37.51,127.03,37.49,127.05,7570,7470,0,0,0,0.0
42,4844,중형 승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:06:58,2022-05-07 오전 7:19:07,9,240,9,228,2022/05/07 7:00,2022/05/07 7:19,19,7,37.47,126.96,37.47,126.96,7469,7469,0,0,0,0.0
43,9156,중형 승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:03:41,2022-05-07 오전 7:19:42,9,137,19,95,2022/05/07 7:00,2022/05/07 7:19,19,7,37.47,126.92,37.49,126.9,7469,7469,0,0,0,0.0
44,3576,중형 승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:08:58,2022-05-07 오전 7:25:14,1,295,1,279,2022/05/07 7:00,2022/05/07 7:25,25,7,37.5,127.1,37.5,127.1,7571,7571,0,0,0,0.0
45,7920,중형승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:02:08,2022-05-07 오전 7:17:22,20,301,20,219,2022/05/07 7:00,2022/05/07 7:17,17,7,37.49,126.84,37.5,126.86,7468,7568,0,0,0,0.0
46,5787,중형승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:08:54,2022-05-07 오전 7:18:43,24,308,24,233,2022/05/07 7:00,2022/05/07 7:18,18,7,37.56,126.8,37.55,126.83,7568,7568,0,0,0,0.0
47,5758,중형승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:09:03,2022-05-07 오전 7:21:42,1,37,1,299,2022/05/07 7:00,2022/05/07 7:21,21,7,37.49,127.12,37.53,127.11,7471,7571,0,0,0,0.0
48,1506,중형 승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:08:30,2022-05-07 오전 7:29:46,2,272,2,262,2022/05/07 7:00,2022/05/07 7:29,29,7,37.61,126.93,37.62,126.93,7669,7669,0,0,0,0.0
49,3692,중형승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:07:38,2022-05-07 오전 7:27:26,13,24,13,286,2022/05/07 7:00,2022/05/07 7:27,27,7,37.57,126.93,37.59,126.93,7569,7569,0,0,0,0.0
50,1566,중형 승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:09:18,2022-05-07 오전 7:19:09,16,226,5,187,2022/05/07 7:00,2022/05/07 7:19,19,7,37.56,127.04,37.56,127.01,7570,7570,0,0,0,0.0
51,6074,중형 승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:05:15,2022-05-07 오전 7:20:49,10,335,10,252,2022/05/07 7:00,2022/05/07 7:20,20,7,37.56,127.09,37.53,127.08,7570,7570,0,0,0,0.0
52,8176,중형 승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:09:12,2022-05-07 오전 7:26:00,12,12,12,245,2022/05/07 7:00,2022/05/07 7:26,26,7,37.65,127.03,37.66,127.03,7670,7670,0,0,0,0.0
53,3644,중형 승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:10:30,2022-05-07 오전 7:27:58,19,196,19,32,2022/05/07 7:00,2022/05/07 7:27,27,7,37.5,126.9,37.51,126.91,7569,7569,0,0,0,0.0
54,5761,중형승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:04:38,2022-05-07 오전 7:13:29,12,173,14,46,2022/05/07 7:00,2022/05/07 7:13,13,7,37.67,127.03,37.58,127.07,7670,7570,0,0,0,0.0
55,1528,중형 승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:09:02,2022-05-07 오전 7:29:36,24,194,24,63,2022/05/07 7:00,2022/05/07 7:29,29,7,37.55,126.84,37.57,126.83,7568,7568,0,0,0,0.0
56,3705,중형승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:07:41,2022-05-07 오전 7:27:38,23,218,23,41,2022/05/07 7:00,2022/05/07 7:27,27,7,37.64,127.02,37.63,127.0,7670,7670,0,0,0,0.0
57,8010,중형 승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:03:47,2022-05-07 오전 7:23:00,13,221,13,310,2022/05/07 7:00,2022/05/07 7:23,23,7,37.6,126.95,37.58,126.94,7669,7569,0,0,0,0.0
58,8105,중형승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:08:28,2022-05-07 오전 7:23:19,21,235,21,16,2022/05/07 7:00,2022/05/07 7:23,23,7,37.49,127.08,37.49,127.05,7470,7470,0,0,0,0.0
59,7914,중형승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:06:49,2022-05-07 오전 7:16:08,21,275,3,74,2022/05/07 7:00,2022/05/07 7:16,16,7,37.485,127.1,37.51,126.95,7471,7569,0,0,0,0.0
60,8188,중형 승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:08:37,2022-05-07 오전 7:20:37,6,190,22,9,2022/05/07 7:00,2022/05/07 7:20,20,7,37.61,127.02,37.58,127.0,7670,7570,0,0,0,0.0
61,8095,중형 승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:00:42,2022-05-07 오전 7:19:45,1,16,21,264,2022/05/07 7:00,2022/05/07 7:19,19,7,37.48,127.13,37.48,127.1,7471,7471,0,0,0,0.0
62,5754,중형승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:01:31,2022-05-07 오전 7:24:25,20,305,20,219,2022/05/07 7:00,2022/05/07 7:24,24,7,37.5,126.89,37.5,126.86,7568,7568,0,0,0,0.0
63,4634,중형 승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:06:00,2022-05-07 오전 7:18:21,6,309,22,7,2022/05/07 7:00,2022/05/07 7:18,18,7,37.61,127.04,37.58,126.99,7670,7569,0,0,0,0.0
64,8054,중형 승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:09:03,2022-05-07 오전 7:26:09,0,35,24,169,2022/05/07 7:00,2022/05/07 7:26,26,7,37.52,126.87,37.55,126.85,7568,7568,0,0,0,0.0
65,9155,중형 승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:03:26,2022-05-07 오전 7:23:12,21,275,1,290,2022/05/07 7:00,2022/05/07 7:23,23,7,37.485,127.1,37.51,127.18,7471,7571,0,0,0,0.0
66,7658,중형승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:04:59,2022-05-07 오전 7:25:27,3,310,9,126,2022/05/07 7:00,2022/05/07 7:25,25,7,37.51,126.94,37.48,126.93,7569,7469,0,0,0,0.0
67,8262,중형승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:10:06,2022-05-07 오전 7:26:45,18,105,7,156,2022/05/07 7:00,2022/05/07 7:26,26,7,37.53,127.0,37.54,126.95,7570,7569,0,0,0,0.0
68,3628,중형 승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:08:52,2022-05-07 오전 7:26:08,9,317,17,247,2022/05/07 7:00,2022/05/07 7:26,26,7,37.48,126.95,37.48,127.0,7469,7470,0,0,0,0.0
