,no,cartype,receipttime,settime,ridetime,startpos1,startpos2,endpos1,endpos2,receipt,ride,receipt-ride,hour,startlat,startlon,endlat,endlon,startplus,endplus,gotowork,gotoschool,gotocharge,end_destination
457,7632,중형승합,2022-05-02 오전 4:33:00,2022-05-02 오전 4:40:06,2022-05-02 오전 4:55:12,16,316,11,283,2022/05/02 4:33,2022/05/02 4:55,22,4,37.56,127.02,37.58,127.1,7570,7571,0,0,0,0.0
458,7659,중형승합,2022-05-02 오전 4:40:00,2022-05-02 오전 4:18:15,2022-05-02 오전 4:50:25,0,91,20,197,2022/05/02 4:40,2022/05/02 4:50,10,4,37.53,126.82,37.5,126.88,7568,7568,0,0,0,0.0
459,5750,중형승합,2022-05-02 오전 4:43:00,2022-05-02 오전 4:49:43,2022-05-02 오전 5:17:29,24,247,24,189,2022/05/02 4:43,2022/05/02 5:17,34,4,37.55,126.83,37.55,126.84,7568,7568,0,0,0,0.0
460,4976,중형 승합,2022-05-02 오전 4:44:10,2022-05-02 오전 4:46:15,2022-05-02 오전 5:05:51,14,204,1,153,2022/05/02 4:44,2022/05/02 5:05,21,4,37.6,127.07,37.5,127.13,7670,7571,0,0,0,0.0
461,5753,중형승합,2022-05-02 오전 4:50:00,2022-05-02 오전 4:53:21,2022-05-02 오전 5:13:22,3,234,3,37,2022/05/02 4:50,2022/05/02 5:13,23,4,37.5,126.93,37.49,126.92,7569,7469,0,0,0,0.0
462,6780,중형승합,2022-05-02 오전 5:00:00,2022-05-02 오전 4:33:23,2022-05-02 오전 4:59:42,20,116,8,15,2022/05/02 5:00,2022/05/02 4:59,1,5,37.49,126.89,37.45,126.9,7468,7469,0,0,0,0.0
463,8029,중형 승합,2022-05-02 오전 5:00:00,2022-05-02 오전 4:31:31,2022-05-02 오전 5:24:22,7,228,13,150,2022/05/02 5:00,2022/05/02 5:24,24,5,37.55,126.95,37.56,126.96,7569,7569,0,0,0,0.0
464,8241,중형승합,2022-05-02 오전 5:00:00,2022-05-02 오전 4:24:43,2022-05-02 오전 5:01:46,0,172,19,305,2022/05/02 5:00,2022/05/02 5:01,1,5,37.51,126.86,37.53,126.89,7568,7568,0,0,0,0.0
465,813,중형승합,2022-05-02 오전 5:00:00,2022-05-02 오전 4:25:01,2022-05-02 오전 5:12:21,2,248,1,114,2022/05/02 5:00,2022/05/02 5:12,12,5,37.59,126.89,37.49,127.1,7568,7471,0,0,0,0.0
466,7659,중형승합,2022-05-02 오전 5:05:21,2022-05-02 오전 5:06:34,2022-05-02 오전 5:20:14,8,141,8,101,2022/05/02 5:05,2022/05/02 5:20,15,5,37.47,126.9,37.47,126.89,7469,7468,0,0,0,0.0
467,8085,중형 승합,2022-05-02 오전 5:20:00,2022-05-02 오전 4:56:19,2022-05-02 오전 5:23:44,11,286,11,283,2022/05/02 5:20,2022/05/02 5:23,3,5,37.6,127.1,37.58,127.1,7671,7571,0,0,0,0.0
468,5750,중형승합,2022-05-02 오전 5:30:00,2022-05-02 오전 5:35:02,2022-05-02 오전 6:00:27,13,1,0,81,2022/05/02 5:30,2022/05/02 6:00,30,5,37.56,126.94,37.53,126.88,7569,7568,0,0,0,0.0
469,4164,중형승합,2022-05-02 오전 5:30:00,2022-05-02 오전 5:02:18,2022-05-02 오전 5:23:38,15,43,6,85,2022/05/02 5:30,2022/05/02 5:23,7,5,37.63,127.05,37.58,127.03,7670,7570,0,0,0,0.0
470,801,중형승합,2022-05-02 오전 5:50:00,2022-05-02 오전 5:13:42,2022-05-02 오전 6:03:50,9,153,9,19,2022/05/02 5:50,2022/05/02 6:03,13,5,37.48,126.94,37.49,126.93,7469,7469,0,0,0,0.0
471,7957,중형승용,2022-05-02 오전 6:40:05,2022-05-02 오전 6:58:50,2022-05-02 오전 7:17:38,0,38,22,9,2022/05/02 6:40,2022/05/02 7:17,37,6,37.53,126.83,37.58,127.0,7568,7570,0,0,0,0.0
472,8105,중형승합,2022-05-02 오전 7:00:00,2022-05-02 오전 7:05:45,2022-05-02 오전 7:32:21,1,2,10,317,2022/05/02 7:00,2022/05/02 7:32,32,7,37.51,127.11,37.56,127.07,7571,7570,0,0,0,0.0
473,8153,중형 승합,2022-05-02 오전 7:00:00,2022-05-02 오전 7:05:20,2022-05-02 오전 7:13:35,15,143,11,84,2022/05/02 7:00,2022/05/02 7:13,13,7,37.62,127.08,37.61,127.08,7670,7670,0,0,1,1.0
474,1564,중형 승합,2022-05-02 오전 7:00:00,2022-05-02 오전 7:07:03,2022-05-02 오전 7:19:31,8,15,19,120,2022/05/02 7:00,2022/05/02 7:19,19,7,37.45,126.9,37.5,126.9,7469,7569,0,0,0,0.0
475,1564,중형 승합,2022-05-02 오전 7:00:00,2022-05-02 오전 7:43:05,2022-05-02 오전 8:10:06,3,201,7,96,2022/05/02 7:00,2022/05/02 8:10,70,7,37.5,126.95,37.58,126.89,7569,7568,0,0,0,0.0
476,4154,중형승합,2022-05-02 오전 7:00:00,2022-05-02 오전 7:07:36,2022-05-02 오전 7:31:49,3,201,0,167,2022/05/02 7:00,2022/05/02 7:31,31,7,37.5,126.95,37.5,126.86,7569,7568,0,0,0,0.0
477,6773,중형승합,2022-05-02 오전 7:00:00,2022-05-02 오전 7:04:28,2022-05-02 오전 7:19:40,22,110,7,57,2022/05/02 7:00,2022/05/02 7:19,19,7,37.57,126.95,37.55,126.94,7569,7569,0,0,0,0.0
478,5631,중형승합,2022-05-02 오전 7:00:00,2022-05-02 오전 7:17:43,2022-05-02 오전 7:54:34,0,198,20,246,2022/05/02 7:00,2022/05/02 7:54,54,7,37.52,128.84,37.49,126.83,7588,7468,0,0,0,0.0
479,3692,중형승합,2022-05-02 오전 7:00:00,2022-05-02 오전 7:06:09,2022-05-02 오전 7:21:55,13,1,7,297,2022/05/02 7:00,2022/05/02 7:21,21,7,37.56,126.94,37.55,126.9,7569,7569,0,0,0,0.0
480,3692,중형승합,2022-05-02 오전 7:00:00,2022-05-02 오전 7:41:59,2022-05-02 오전 7:55:41,7,31,22,315,2022/05/02 7:00,2022/05/02 7:55,55,7,37.57,126.9,37.57,126.96,7569,7569,0,1,0,2.0
481,3265,중형승용,2022-05-02 오전 7:00:00,2022-05-02 오전 6:48:23,2022-05-02 오전 7:19:23,9,155,21,137,2022/05/02 7:00,2022/05/02 7:19,19,7,37.48,126.95,37.53,127.03,7469,7570,0,0,0,0.0
482,1075,중형승용,2022-05-02 오전 7:00:00,2022-05-02 오전 6:57:42,2022-05-02 오전 7:11:24,1,16,19,320,2022/05/02 7:00,2022/05/02 7:11,11,7,37.48,127.13,37.52,126.92,7471,7569,0,0,0,0.0
483,8065,중형 승합,2022-05-02 오전 7:00:00,2022-05-02 오전 7:39:49,2022-05-02 오전 7:49:52,4,162,4,109,2022/05/02 7:00,2022/05/02 7:49,49,7,37.55,127.144,37.53,127.14,7571,7571,0,0,0,0.0
484,8065,중형 승합,2022-05-02 오전 7:00:00,2022-05-02 오전 7:39:49,2022-05-02 오전 7:49:52,4,162,4,109,2022/05/02 7:00,2022/05/02 7:49,49,7,37.55,127.144,37.53,127.14,7571,7571,0,0,0,0.0
485,8065,중형 승합,2022-05-02 오전 7:00:00,2022-05-02 오전 7:04:13,2022-05-02 오전 7:24:37,4,251,4,24,2022/05/02 7:00,2022/05/02 7:24,24,7,37.54,127.13,37.55,127.16,7571,7571,0,0,0,0.0
486,3644,중형 승합,2022-05-02 오전 7:00:00,2022-05-02 오전 7:10:45,2022-05-02 오전 7:27:34,3,142,8,157,2022/05/02 7:00,2022/05/02 7:27,27,7,37.49,126.91,37.47,126.9,7469,7469,0,0,0,0.0
487,8208,중형승합,2022-05-02 오전 7:00:00,2022-05-02 오전 7:07:53,2022-05-02 오전 7:31:11,21,287,21,16,2022/05/02 7:00,2022/05/02 7:31,31,7,37.47,127.04,37.49,127.05,7470,7470,0,0,0,0.0
488,8178,중형 승합,2022-05-02 오전 7:00:00,2022-05-02 오전 7:08:00,2022-05-02 오전 7:15:51,7,159,2,31,2022/05/02 7:00,2022/05/02 7:15,15,7,37.55,126.95,37.64,126.92,7569,7669,0,0,0,0.0
489,7600,중형승합,2022-05-02 오전 7:00:00,2022-05-02 오전 7:05:38,2022-05-02 오전 7:23:35,24,194,22,33,2022/05/02 7:00,2022/05/02 7:23,23,7,37.55,126.84,37.57,126.98,7568,7569,0,1,0,2.0
490,7904,중형승합,2022-05-02 오전 7:00:00,2022-05-02 오전 7:09:36,2022-05-02 오전 7:28:34,15,271,15,119,2022/05/02 7:00,2022/05/02 7:28,28,7,37.67,127.08,37.65,127.06,7670,7670,0,0,0,0.0
491,6174,중형 승합,2022-05-02 오전 7:00:00,2022-05-02 오전 7:05:53,2022-05-02 오전 7:25:18,3,201,7,218,2022/05/02 7:00,2022/05/02 7:25,25,7,37.5,126.95,37.55,126.95,7569,7569,0,0,0,0.0
492,4874,중형 승합,2022-05-02 오전 7:00:00,2022-05-02 오전 7:06:31,2022-05-02 오전 7:28:52,20,206,19,141,2022/05/02 7:00,2022/05/02 7:28,28,7,37.49,126.84,37.52,126.9,7468,7569,0,0,0,0.0
493,9155,중형 승합,2022-05-02 오전 7:00:00,2022-05-02 오전 7:04:19,2022-05-02 오전 7:24:28,1,16,13,2,2022/05/02 7:00,2022/05/02 7:24,24,7,37.48,127.13,37.57,126.93,7471,7569,0,0,0,0.0
494,8010,중형 승합,2022-05-02 오전 7:00:00,2022-05-02 오전 7:05:03,2022-05-02 오전 7:33:57,2,197,2,192,2022/05/02 7:00,2022/05/02 7:33,33,7,37.61,126.91,37.6,126.9,7669,7669,1,0,0,3.0
495,8200,중형승합,2022-05-02 오전 7:00:00,2022-05-02 오전 7:08:57,2022-05-02 오전 7:29:18,24,165,24,233,2022/05/02 7:00,2022/05/02 7:29,29,7,37.54,126.84,37.55,126.83,7568,7568,0,0,0,0.0
496,4962,중형 승합,2022-05-02 오전 7:00:00,2022-05-02 오전 7:09:21,2022-05-02 오전 7:28:33,15,43,11,127,2022/05/02 7:00,2022/05/02 7:28,28,7,37.63,127.05,37.61,127.1,7670,7671,0,0,0,0.0
497,8074,중형 승합,2022-05-02 오전 7:00:00,2022-05-02 오전 7:10:23,2022-05-02 오전 7:38:11,3,188,22,53,2022/05/02 7:00,2022/05/02 7:38,38,7,37.49,126.98,37.58,126.97,7469,7569,0,1,0,2.0
498,8141,중형승합,2022-05-02 오전 7:00:00,2022-05-02 오전 7:03:42,2022-05-02 오전 7:20:15,7,59,5,301,2022/05/02 7:00,2022/05/02 7:20,20,7,37.55,126.94,37.56,126.97,7569,7569,0,0,0,0.0
499,4392,중형승용,2022-05-02 오전 7:00:00,2022-05-02 오전 7:01:47,2022-05-02 오전 7:29:44,23,106,15,40,2022/05/02 7:00,2022/05/02 7:29,29,7,37.63,127.04,37.63,127.05,7670,7670,0,0,0,0.0
500,4392,중형승용,2022-05-02 오전 7:00:00,2022-05-02 오전 7:40:08,2022-05-02 오전 8:00:50,15,168,15,237,2022/05/02 7:00,2022/05/02 8:00,60,7,37.65,127.07,37.65,127.06,7670,7670,0,0,0,0.0
501,4582,중형승용,2022-05-02 오전 7:00:00,2022-05-02 오전 7:15:47,2022-05-02 오전 7:46:50,6,68,4,54,2022/05/02 7:00,2022/05/02 7:46,46,7,37.6,126.99,37.53,127.14,7669,7571,0,0,0,0.0
502,811,중형승합,2022-05-02 오전 7:00:00,2022-05-02 오전 7:08:41,2022-05-02 오전 7:43:45,12,173,22,33,2022/05/02 7:00,2022/05/02 7:43,43,7,37.67,127.03,37.57,126.98,7670,7569,0,1,0,2.0
503,9160,중형 승합,2022-05-02 오전 7:00:00,2022-05-02 오전 7:37:19,2022-05-02 오전 7:56:34,2,248,19,146,2022/05/02 7:00,2022/05/02 7:56,56,7,37.59,126.89,37.52,126.9,7568,7569,0,0,0,0.0
504,9160,중형 승합,2022-05-02 오전 7:00:00,2022-05-02 오전 7:02:54,2022-05-02 오전 7:21:48,13,24,2,192,2022/05/02 7:00,2022/05/02 7:21,21,7,37.57,126.93,37.6,126.9,7569,7669,1,0,0,3.0
505,7804,중형승합,2022-05-02 오전 7:00:00,2022-05-02 오전 7:07:12,2022-05-02 오전 7:29:40,18,152,15,119,2022/05/02 7:00,2022/05/02 7:29,29,7,37.53,127.0,37.65,127.06,7570,7670,0,0,0,0.0
506,5785,중형승합,2022-05-02 오전 7:00:00,2022-05-02 오전 7:07:18,2022-05-02 오전 7:19:03,11,231,14,4,2022/05/02 7:00,2022/05/02 7:19,19,7,37.58,127.07,37.59,127.07,7570,7570,0,0,1,1.0
507,3570,중형 승합,2022-05-02 오전 7:00:00,2022-05-02 오전 7:09:44,2022-05-02 오전 7:39:29,24,67,0,206,2022/05/02 7:00,2022/05/02 7:39,39,7,37.57,126.84,37.51,126.84,7568,7568,0,0,0,0.0
508,3570,중형 승합,2022-05-02 오전 7:00:00,2022-05-02 오전 7:09:44,2022-05-02 오전 7:39:29,24,67,0,206,2022/05/02 7:00,2022/05/02 7:39,39,7,37.57,126.84,37.51,126.84,7568,7568,0,0,0,0.0
509,5586,중형승합,2022-05-02 오전 7:00:00,2022-05-02 오전 7:04:35,2022-05-02 오전 7:19:17,1,93,21,184,2022/05/02 7:00,2022/05/02 7:19,19,7,37.53,127.12,37.51,127.05,7571,7570,0,0,0,0.0
510,8035,중형 승합,2022-05-02 오전 7:00:00,2022-05-02 오전 7:06:12,2022-05-02 오전 7:21:43,19,147,13,22,2022/05/02 7:00,2022/05/02 7:21,21,7,37.52,126.9,37.57,126.93,7569,7569,0,0,0,0.0
511,6084,중형 승합,2022-05-02 오전 7:00:00,2022-05-02 오전 7:08:41,2022-05-02 오전 7:28:09,24,67,11,127,2022/05/02 7:00,2022/05/02 7:28,28,7,37.57,126.84,37.61,127.1,7568,7671,0,0,0,0.0
512,7816,중형승합,2022-05-02 오전 7:00:00,2022-05-02 오전 7:07:26,2022-05-02 오전 7:22:42,22,270,22,132,2022/05/02 7:00,2022/05/02 7:22,22,7,37.57,127.0,37.57,127.0,7570,7570,0,0,0,0.0
513,6015,중형승용,2022-05-02 오전 7:00:00,2022-05-02 오전 6:58:56,2022-05-02 오전 7:32:06,1,213,24,63,2022/05/02 7:00,2022/05/02 7:32,32,7,37.49,127.14,37.57,126.83,7471,7568,0,0,0,0.0
514,4784,중형 승합,2022-05-02 오전 7:00:00,2022-05-02 오전 7:07:13,2022-05-02 오전 7:29:08,18,130,8,101,2022/05/02 7:00,2022/05/02 7:29,29,7,37.54,126.97,37.47,126.89,7569,7468,0,0,0,0.0
515,6278,중형승용,2022-05-02 오전 7:00:00,2022-05-02 오전 6:38:38,2022-05-02 오전 6:49:59,20,252,4,109,2022/05/02 7:00,2022/05/02 6:49,11,7,37.49,126.85,37.53,127.14,7468,7571,0,0,0,0.0
516,9631,중형승용,2022-05-02 오전 7:00:00,2022-05-02 오전 6:38:16,2022-05-02 오전 6:58:40,0,172,4,109,2022/05/02 7:00,2022/05/02 6:58,2,7,37.51,126.86,37.53,127.14,7568,7571,0,0,0,0.0
517,8054,중형 승합,2022-05-02 오전 7:00:00,2022-05-02 오전 7:09:11,2022-05-02 오전 7:29:35,24,67,13,2,2022/05/02 7:00,2022/05/02 7:29,29,7,37.57,126.84,37.57,126.93,7568,7569,0,0,0,0.0
518,9128,중형 승합,2022-05-02 오전 7:00:00,2022-05-02 오전 7:43:13,2022-05-02 오전 8:05:28,24,194,19,320,2022/05/02 7:00,2022/05/02 8:05,65,7,37.55,126.84,37.52,126.92,7568,7569,0,0,0,0.0
519,9128,중형 승합,2022-05-02 오전 7:00:00,2022-05-02 오전 7:08:19,2022-05-02 오전 7:26:41,24,101,24,169,2022/05/02 7:00,2022/05/02 7:26,26,7,37.55,126.81,37.55,126.85,7568,7568,0,0,0,0.0
520,5741,중형승합,2022-05-02 오전 7:00:00,2022-05-02 오전 7:22:28,2022-05-02 오전 7:42:41,20,115,19,95,2022/05/02 7:00,2022/05/02 7:42,42,7,37.48,126.89,37.49,126.9,7468,7469,0,0,0,0.0
521,3551,중형 승합,2022-05-02 오전 7:00:00,2022-05-02 오전 7:05:28,2022-05-02 오전 7:13:31,7,31,21,201,2022/05/02 7:00,2022/05/02 7:13,13,7,37.57,126.9,37.49,127.06,7569,7470,0,0,0,0.0
522,3551,중형 승합,2022-05-02 오전 7:00:00,2022-05-02 오전 7:05:28,2022-05-02 오전 7:13:31,7,31,21,201,2022/05/02 7:00,2022/05/02 7:13,13,7,37.57,126.9,37.49,127.06,7569,7470,0,0,0,0.0
523,6781,중형승합,2022-05-02 오전 7:00:00,2022-05-02 오전 7:09:17,2022-05-02 오전 7:35:48,21,144,5,110,2022/05/02 7:00,2022/05/02 7:35,35,7,37.52,127.03,37.55,126.99,7570,7569,0,0,0,0.0
524,1647,중형승용,2022-05-02 오전 7:00:00,2022-05-02 오전 6:59:43,2022-05-02 오전 7:16:55,19,102,13,86,2022/05/02 7:00,2022/05/02 7:16,16,7,37.49,126.9,37.58,126.92,7469,7569,0,0,0,0.0
525,1647,중형승용,2022-05-02 오전 7:00:00,2022-05-02 오전 6:40:13,2022-05-02 오전 6:56:31,0,128,0,34,2022/05/02 7:00,2022/05/02 6:56,4,7,37.52,126.85,37.53,126.87,7568,7568,0,0,0,0.0
526,1446,대형승용,2022-05-02 오전 7:00:00,2022-05-02 오전 7:13:04,2022-05-02 오전 7:32:16,9,134,0,36,2022/05/02 7:00,2022/05/02 7:32,32,7,37.48,126.93,37.53,126.83,7469,7568,0,0,0,0.0
527,5789,중형승합,2022-05-02 오전 7:00:00,2022-05-02 오전 7:03:39,2022-05-02 오전 7:22:33,18,254,2,145,2022/05/02 7:00,2022/05/02 7:22,22,7,37.52,126.97,37.6,126.91,7569,7669,1,0,0,3.0
528,3610,중형 승합,2022-05-02 오전 7:00:00,2022-05-02 오전 7:04:19,2022-05-02 오전 7:25:08,14,181,5,301,2022/05/02 7:00,2022/05/02 7:25,25,7,37.6,127.06,37.56,126.97,7670,7569,0,0,0,0.0
529,8373,중형승용,2022-05-02 오전 7:00:00,2022-05-02 오전 6:48:12,2022-05-02 오전 7:04:48,3,40,20,308,2022/05/02 7:00,2022/05/02 7:04,4,7,37.5,126.92,37.5,126.87,7569,7568,0,0,0,0.0
530,823,중형승합,2022-05-02 오전 7:00:00,2022-05-02 오전 7:04:07,2022-05-02 오전 7:14:52,15,43,22,33,2022/05/02 7:00,2022/05/02 7:14,14,7,37.63,127.05,37.57,126.98,7670,7569,0,1,0,2.0
531,8028,중형 승합,2022-05-02 오전 7:00:00,2022-05-02 오전 7:04:58,2022-05-02 오전 7:15:49,10,76,1,203,2022/05/02 7:00,2022/05/02 7:15,15,7,37.55,127.07,37.48,127.12,7570,7471,0,0,0,0.0
532,8270,중형승합,2022-05-02 오전 7:00:00,2022-05-02 오전 7:08:48,2022-05-02 오전 7:43:39,17,191,17,213,2022/05/02 7:00,2022/05/02 7:43,43,7,37.5,127.01,37.46,127.08,7570,7470,0,0,0,0.0
533,7909,중형승합,2022-05-02 오전 7:00:00,2022-05-02 오전 7:08:56,2022-05-02 오전 7:36:09,0,198,13,2,2022/05/02 7:00,2022/05/02 7:36,36,7,37.52,129.84,37.57,126.93,7598,7569,0,0,0,0.0
534,7801,중형승합,2022-05-02 오전 7:00:00,2022-05-02 오전 7:09:09,2022-05-02 오전 7:25:10,7,39,7,143,2022/05/02 7:00,2022/05/02 7:25,25,7,37.56,126.91,37.55,126.92,7569,7569,0,0,0,0.0
535,7801,중형승합,2022-05-02 오전 7:00:00,2022-05-02 오전 7:41:10,2022-05-02 오전 7:50:29,7,39,1,35,2022/05/02 7:00,2022/05/02 7:50,50,7,37.56,126.91,37.49,127.12,7569,7471,0,0,0,0.0
536,7821,중형승합,2022-05-02 오전 7:00:00,2022-05-02 오전 7:09:31,2022-05-02 오전 7:21:26,0,128,4,109,2022/05/02 7:00,2022/05/02 7:21,21,7,37.52,126.85,37.53,127.14,7568,7571,0,0,0,0.0
537,8268,중형승합,2022-05-02 오전 7:00:00,2022-05-02 오전 7:06:57,2022-05-02 오전 7:33:43,24,136,19,305,2022/05/02 7:00,2022/05/02 7:33,33,7,37.56,126.85,37.53,126.89,7568,7568,0,0,0,0.0
538,4174,중형승합,2022-05-02 오전 7:00:00,2022-05-02 오전 7:08:49,2022-05-02 오전 7:24:16,15,88,11,106,2022/05/02 7:00,2022/05/02 7:24,24,7,37.62,127.07,37.61,127.07,7670,7670,0,0,1,1.0
539,3612,중형승합,2022-05-02 오전 7:00:00,2022-05-02 오전 7:07:32,2022-05-02 오전 7:49:52,23,183,17,170,2022/05/02 7:00,2022/05/02 7:49,49,7,37.61,127.03,37.49,127.02,7670,7470,0,0,0,0.0
540,3614,중형 승합,2022-05-02 오전 7:00:00,2022-05-02 오전 7:08:56,2022-05-02 오전 7:16:50,24,308,0,34,2022/05/02 7:00,2022/05/02 7:16,16,7,37.56,126.8,37.53,126.87,7568,7568,0,0,0,0.0
541,7638,중형승합,2022-05-02 오전 7:00:00,2022-05-02 오전 7:03:36,2022-05-02 오전 7:18:51,21,275,17,55,2022/05/02 7:00,2022/05/02 7:18,18,7,37.485,127.1,37.45,127.05,7471,7470,0,0,0,0.0
542,7845,중형 승합,2022-05-02 오전 7:00:00,2022-05-02 오전 7:09:18,2022-05-02 오전 7:35:19,6,63,22,140,2022/05/02 7:00,2022/05/02 7:35,35,7,37.59,127.03,37.57,126.96,7570,7569,0,1,0,2.0
543,6772,중형승합,2022-05-02 오전 7:00:00,2022-05-02 오전 7:09:04,2022-05-02 오전 7:27:19,23,81,15,119,2022/05/02 7:00,2022/05/02 7:27,27,7,37.65,127.0,37.65,127.06,7670,7670,0,0,0,0.0
544,9144,중형 승합,2022-05-02 오전 7:00:00,2022-05-02 오전 7:07:19,2022-05-02 오전 7:14:40,4,290,18,100,2022/05/02 7:00,2022/05/02 7:14,14,7,37.55,127.13,37.53,127.0,7571,7570,0,0,0,0.0
545,3705,중형승합,2022-05-02 오전 7:00:00,2022-05-02 오전 7:03:31,2022-05-02 오전 7:26:05,23,106,6,186,2022/05/02 7:00,2022/05/02 7:26,26,7,37.63,127.04,37.61,127.02,7670,7670,0,0,0,0.0
546,7865,중형승합,2022-05-02 오전 7:00:00,2022-05-02 오전 8:05:16,2022-05-02 오전 8:31:14,24,243,24,259,2022/05/02 7:00,2022/05/02 8:31,91,7,37.53,126.84,37.56,126.86,7568,7568,0,0,0,0.0
547,820,중형승합,2022-05-02 오전 7:00:00,2022-05-02 오전 7:09:34,2022-05-02 오전 7:21:14,11,286,2,192,2022/05/02 7:00,2022/05/02 7:21,21,7,37.6,127.1,37.6,126.9,7671,7669,1,0,0,3.0
548,8042,중형 승합,2022-05-02 오전 7:00:00,2022-05-02 오전 7:06:54,2022-05-02 오전 7:29:36,21,73,11,127,2022/05/02 7:00,2022/05/02 7:29,29,7,37.46,127.1,37.61,127.1,7471,7671,0,0,0,0.0
549,8070,중형 승합,2022-05-02 오전 7:00:00,2022-05-02 오전 7:05:46,2022-05-02 오전 7:19:50,15,84,22,140,2022/05/02 7:00,2022/05/02 7:19,19,7,37.66,127.05,37.57,126.96,7670,7569,0,1,0,2.0
550,3586,중형 승합,2022-05-02 오전 7:00:00,2022-05-02 오전 7:07:29,2022-05-02 오전 7:26:47,7,174,19,320,2022/05/02 7:00,2022/05/02 7:26,26,7,37.56,126.92,37.52,126.92,7569,7569,0,0,0,0.0
551,7641,중형승합,2022-05-02 오전 7:00:00,2022-05-02 오전 7:02:11,2022-05-02 오전 7:14:08,16,205,22,9,2022/05/02 7:00,2022/05/02 7:14,14,7,37.55,127.07,37.58,127.0,7570,7570,0,0,0,0.0
552,7846,중형 승합,2022-05-02 오전 7:00:00,2022-05-02 오전 7:10:03,2022-05-02 오전 7:34:58,16,151,16,216,2022/05/02 7:00,2022/05/02 7:34,34,7,37.55,127.02,37.56,127.04,7570,7570,0,0,0,0.0
553,8165,중형승합,2022-05-02 오전 7:00:00,2022-05-02 오전 7:10:06,2022-05-02 오전 7:28:18,18,326,2,145,2022/05/02 7:00,2022/05/02 7:28,28,7,37.53,126.95,37.6,126.91,7569,7669,1,0,0,3.0
554,8420,대형승용,2022-05-02 오전 7:00:00,2022-05-02 오전 7:05:51,2022-05-02 오전 7:14:54,0,35,24,169,2022/05/02 7:00,2022/05/02 7:14,14,7,37.52,126.87,37.55,126.85,7568,7568,0,0,0,0.0
555,5176,대형승용,2022-05-02 오전 7:00:00,2022-05-02 오전 7:08:27,2022-05-02 오전 7:30:15,13,112,13,2,2022/05/02 7:00,2022/05/02 7:30,30,7,37.57,126.9,37.57,126.93,7569,7569,0,0,0,0.0
556,2721,중형승용,2022-05-02 오전 7:00:00,2022-05-02 오전 6:50:29,2022-05-02 오전 7:03:17,10,51,10,154,2022/05/02 7:00,2022/05/02 7:03,3,7,37.57,127.08,37.56,127.08,7570,7570,0,0,0,0.0
557,3598,중형 승합,2022-05-02 오전 7:00:00,2022-05-02 오전 7:04:48,2022-05-02 오전 7:34:22,9,324,1,203,2022/05/02 7:00,2022/05/02 7:34,34,7,37.47,126.96,37.48,127.12,7469,7471,0,0,0,0.0
558,3698,중형 승합,2022-05-02 오전 7:00:00,2022-05-02 오전 7:08:57,2022-05-02 오전 7:26:57,5,285,22,140,2022/05/02 7:00,2022/05/02 7:26,26,7,37.56,127.0,37.57,126.96,7570,7569,0,1,0,2.0
559,7919,중형승합,2022-05-02 오전 7:00:00,2022-05-02 오전 7:08:32,2022-05-02 오전 7:20:35,15,84,19,141,2022/05/02 7:00,2022/05/02 7:20,20,7,37.66,127.05,37.52,126.9,7670,7569,0,0,0,0.0
560,1913,중형승용,2022-05-02 오전 7:00:00,2022-05-02 오전 7:00:12,2022-05-02 오전 7:31:04,4,290,5,301,2022/05/02 7:00,2022/05/02 7:31,31,7,37.55,127.13,37.56,126.97,7571,7569,0,0,0,0.0
561,9020,중형 승용,2022-05-02 오전 7:00:00,2022-05-02 오전 7:08:23,2022-05-02 오전 7:22:44,11,135,17,309,2022/05/02 7:00,2022/05/02 7:22,22,7,37.6,127.1,37.5,127.0,7671,7570,0,0,0,0.0
562,8081,중형 승합,2022-05-02 오전 7:00:00,2022-05-02 오전 7:09:10,2022-05-02 오전 7:40:04,23,90,6,85,2022/05/02 7:00,2022/05/02 7:40,40,7,37.61,127.01,37.58,127.03,7670,7570,0,0,0,0.0
563,5796,중형승합,2022-05-02 오전 7:00:00,2022-05-02 오전 7:09:15,2022-05-02 오전 7:24:36,15,13,22,33,2022/05/02 7:00,2022/05/02 7:24,24,7,37.68,127.05,37.57,126.98,7670,7569,0,1,0,2.0
564,7655,중형승합,2022-05-02 오전 7:00:00,2022-05-02 오전 7:03:58,2022-05-02 오전 7:20:43,18,291,22,33,2022/05/02 7:00,2022/05/02 7:20,20,7,37.53,126.96,37.57,126.98,7569,7569,0,1,0,2.0
565,840,중형승합,2022-05-02 오전 7:00:00,2022-05-02 오전 7:10:47,2022-05-02 오전 7:26:54,11,78,15,237,2022/05/02 7:00,2022/05/02 7:26,26,7,37.59,127.08,37.65,127.06,7570,7670,0,0,0,0.0
566,840,중형승합,2022-05-02 오전 7:00:00,2022-05-02 오전 8:06:43,2022-05-02 오전 8:27:11,15,271,15,163,2022/05/02 7:00,2022/05/02 8:27,87,7,37.67,127.08,37.65,127.07,7670,7670,0,0,0,0.0
567,5661,중형승합,2022-05-02 오전 7:00:00,2022-05-02 오전 7:02:41,2022-05-02 오전 7:17:51,13,303,18,21,2022/05/02 7:00,2022/05/02 7:17,17,7,37.58,126.93,37.52,126.96,7569,7569,0,0,0,0.0
